id,entity,order_id,amount,currency,status,method,captured,description,card_id,bank,vpa,fee,tax,created_at,notes
pay_JAJXY9JBCB16JL,payment,WB-109895,1048446,INR,captured,emi,TRUE,Payment for WB-109895 Rubber foot mat,,,,20969,3774,1772456940,
pay_F0R3ZXW6TNFZHU,payment,WB-109922,388000,INR,captured,card,TRUE,Payment for WB-109922 Mixer jar spare,,,,7760,1397,1772472360,
pay_BUL4LZ2LK6APHT,payment,WB-104176,6580800,INR,captured,wallet,TRUE,Payment for WB-104176 Rubber foot mat,,,,131616,23691,1772549700,
pay_A0BN8VLAWVW3UK,payment,WB-104183,5944900,INR,captured,emi,TRUE,Payment for WB-104183 Coir door mat,,,,118898,21402,1772552400,
pay_38SUE9JX0F5RUD,payment,WB-104251,4365000,INR,captured,card,TRUE,Payment for WB-104251 Rubber foot mat,,,,87300,15714,1772525340,
pay_T51QFSCUAFZQZU,payment,WB-104255,3475076,INR,captured,card,TRUE,Payment for WB-104255 Copper water bottle,,,,69502,12510,1772554380,
pay_M9T00HZHKJEYHJ,payment,WB-104298,3551347,INR,captured,wallet,TRUE,Payment for WB-104298 Coir door mat,,,,71027,12785,1772560800,
pay_5H8T4A97N1PPQE,payment,WB-104307,1623400,INR,captured,emi,TRUE,Payment for WB-104307 Mixer jar spare,,,,32468,5844,1772550960,
pay_G3NL7PQRS6WKMJ,payment,WB-104429,2681800,INR,captured,wallet,TRUE,Payment for WB-104429 Rubber foot mat,,,,53636,9654,1772539920,
pay_LARXP42B60YZE9,payment,WB-104576,9163200,INR,captured,upi,TRUE,Payment for WB-104576 Copper water bottle,,,,183264,32988,1772548860,
pay_K20TD1NZ36VBGM,payment,WB-104869,1568400,INR,captured,emi,TRUE,Payment for WB-104869 Mixer jar spare,,,,31368,5646,1772534760,
pay_QQEGPRYEXHFSYB,payment,WB-105061,3844111,INR,captured,netbanking,TRUE,Payment for WB-105061 Steel tiffin carrier,,,,76882,13839,1772569200,
pay_4W6KVK7L9QF2ZF,payment,WB-105220,8495200,INR,captured,upi,TRUE,Payment for WB-105220 Steel tiffin carrier,,,,169904,30583,1772565360,
pay_YF7JBLTR596ANM,payment,WB-105370,5495300,INR,captured,wallet,TRUE,Payment for WB-105370 Steel tiffin carrier,,,,109906,19783,1772565300,
pay_C7FTPA6BC467L6,payment,WB-105578,5318756,INR,captured,upi,TRUE,Payment for WB-105578 Coir door mat,,,,106375,19148,1772567700,
pay_Q6JEP75LS0KTER,payment,WB-105589,7601216,INR,captured,upi,TRUE,Payment for WB-105589 Steel tiffin carrier,,,,152024,27364,1772564880,
pay_MSX9KQ91GVT2NX,payment,WB-105834,6902017,INR,captured,card,TRUE,Payment for WB-105834 Coir door mat,,,,138040,24847,1772541840,
pay_NH3VGAHXKVHHUX,payment,WB-106009,5030726,INR,captured,upi,TRUE,Payment for WB-106009 Coir door mat,,,,100615,18111,1772559480,
pay_8B4PYMWGATLYSX,payment,WB-106075,6271100,INR,captured,netbanking,TRUE,Payment for WB-106075 Mixer jar spare,,,,125422,22576,1772535120,
pay_91FPEFWHU457HT,payment,WB-106098,2504200,INR,captured,upi,TRUE,Payment for WB-106098 Trolley bag 24 inch,,,,50084,9015,1772555400,
pay_ZN2QMEAF19XBBB,payment,WB-106401,2996700,INR,captured,upi,TRUE,Payment for WB-106401 Coir door mat,,,,59934,10788,1772564100,
pay_6VCHNNTEQAGMEC,payment,WB-106866,3596900,INR,captured,emi,TRUE,Payment for WB-106866 Steel tiffin carrier,,,,71938,12949,1772540640,
pay_WZLHYHMBGU9AM4,payment,WB-107017,2310100,INR,captured,netbanking,TRUE,Payment for WB-107017 Copper water bottle,,,,46202,8316,1772559600,
pay_MEVKF9RQ14NTCZ,payment,WB-107192,7663331,INR,captured,wallet,TRUE,Payment for WB-107192 Copper water bottle,,,,153267,27588,1772545620,
pay_6YRMNBRW8CCY0S,payment,WB-107345,7042733,INR,captured,upi,TRUE,Payment for WB-107345 Trolley bag 24 inch,,,,140855,25354,1772554080,
pay_3CAGGE2EKUZPYG,payment,WB-107439,1188500,INR,captured,card,TRUE,Payment for WB-107439 Rubber foot mat,,,,23770,4279,1772545380,
pay_LATH0DD0XZ0H5P,payment,WB-107681,5079504,INR,captured,card,TRUE,Payment for WB-107681 Mixer jar spare,,,,101590,18286,1772557860,
pay_T3AFPS85MBFZZV,payment,WB-107784,7022600,INR,captured,netbanking,TRUE,Payment for WB-107784 Copper water bottle,,,,140452,25281,1772544000,
pay_A4X5CCWDPU075R,payment,WB-108520,2235800,INR,captured,wallet,TRUE,Payment for WB-108520 Copper water bottle,,,,44716,8049,1772537040,
pay_2LHCXFRDSVBJQ3,payment,WB-108524,5634957,INR,captured,emi,TRUE,Payment for WB-108524 Trolley bag 24 inch,,,,112699,20286,1772551080,
pay_3W65E7FNCDE896,payment,WB-108613,4162300,INR,captured,wallet,TRUE,Payment for WB-108613 Coir door mat,,,,83246,14984,1772550960,
pay_F0EESGVLHHGRRY,payment,WB-108662,8081360,INR,captured,wallet,TRUE,Payment for WB-108662 Rubber foot mat,,,,161627,29093,1772534580,
pay_2TE8R3AW07LNBC,payment,WB-108965,4530000,INR,captured,card,TRUE,Payment for WB-108965 Mixer jar spare,,,,90600,16308,1772534460,
pay_CNX5UC9KP253BH,payment,WB-109081,7610600,INR,captured,netbanking,TRUE,Payment for WB-109081 Trolley bag 24 inch,,,,152212,27398,1772568600,
pay_37EG24MDXBFUK1,payment,WB-109092,7761200,INR,captured,upi,TRUE,Payment for WB-109092 Copper water bottle,,,,155224,27940,1772565300,
pay_8HUUA0ZMTHQ4VS,payment,WB-109144,4275400,INR,captured,emi,TRUE,Payment for WB-109144 Trolley bag 24 inch,,,,85508,15391,1772543760,
pay_Q5ZE61UKKK9RLU,payment,WB-109277,1930661,INR,captured,netbanking,TRUE,Payment for WB-109277 Rubber foot mat,,,,38613,6950,1772525520,
pay_A6WN71XLG6Y4TU,payment,WB-109427,4832083,INR,captured,card,TRUE,Payment for WB-109427 Steel tiffin carrier,,,,96642,17396,1772564280,
pay_YSRKTACNPRCTF5,payment,WB-109449,4994300,INR,captured,wallet,TRUE,Payment for WB-109449 Trolley bag 24 inch,,,,99886,17979,1772546160,
pay_GVF38BB8GBR06A,payment,WB-109932,7995589,INR,captured,card,TRUE,Payment for WB-109932 Steel tiffin carrier,,,,159912,28784,1772556300,
pay_7505NGEJEEQW5L,payment,WB-109969,8203084,INR,captured,card,TRUE,Payment for WB-109969 Mixer jar spare,,,,164062,29531,1772563560,
pay_VHTUJ9GQ4717EX,payment,WB-104130,472040,INR,captured,card,TRUE,Payment for WB-104130 Mixer jar spare,,,,9441,1699,1772622600,
pay_C9UH2GUNPB3EAA,payment,WB-104289,6936400,INR,captured,emi,TRUE,Payment for WB-104289 Mixer jar spare,,,,138728,24971,1772621340,
pay_2JDWXZJ598JMYM,payment,WB-104671,4570751,INR,captured,upi,TRUE,Payment for WB-104671 Trolley bag 24 inch,,,,91415,16455,1772614560,
pay_3WHPVD67BL7RHA,payment,WB-104744,7965164,INR,captured,netbanking,TRUE,Payment for WB-104744 Steel tiffin carrier,,,,159303,28675,1772624640,
pay_UXGSW8CDRFY45V,payment,WB-104782,2996000,INR,captured,card,TRUE,Payment for WB-104782 Rubber foot mat,,,,59920,10786,1772614860,
pay_0GZHVJZ4FVTG8Y,payment,WB-104875,1133400,INR,captured,emi,TRUE,Payment for WB-104875 Steel tiffin carrier,,,,22668,4080,1772654640,
pay_GGC30MUSPYF2D0,payment,WB-104901,6975885,INR,captured,wallet,TRUE,Payment for WB-104901 Rubber foot mat,,,,139518,25113,1772616360,
pay_HP2HKK4X7G1DC9,payment,WB-104997,7362770,INR,captured,upi,TRUE,Payment for WB-104997 Mixer jar spare,,,,147255,26506,1772637960,
pay_46WMGVAZEXDYMV,payment,WB-105031,6331346,INR,captured,wallet,TRUE,Payment for WB-105031 Rubber foot mat,,,,126627,22793,1772622360,
pay_F88WUQ3Z7VRMYB,payment,WB-105449,8664452,INR,captured,emi,TRUE,Payment for WB-105449 Coir door mat,,,,173289,31192,1772644560,
pay_H4KY819CX2EF6F,payment,WB-105500,7235700,INR,captured,upi,TRUE,Payment for WB-105500 Mixer jar spare,,,,144714,26049,1772620320,
pay_26BKEURGDPF9WE,payment,WB-105574,523300,INR,captured,wallet,TRUE,Payment for WB-105574 Copper water bottle,,,,10466,1884,1772639580,
pay_0A0SYRNSWF4Y2U,payment,WB-105975,754978,INR,captured,emi,TRUE,Payment for WB-105975 Coir door mat,,,,15100,2718,1772636100,
pay_LVA8XAWEJ0VX9Z,payment,WB-106000,3930234,INR,captured,upi,TRUE,Payment for WB-106000 Trolley bag 24 inch,,,,78605,14149,1772631900,
pay_RR621Q26SMKDEV,payment,WB-106106,2399626,INR,captured,netbanking,TRUE,Payment for WB-106106 Coir door mat,,,,47993,8639,1772634360,
pay_2MDLHDLSKEA4TU,payment,WB-106287,7683400,INR,captured,emi,TRUE,Payment for WB-106287 Copper water bottle,,,,153668,27660,1772656200,
pay_MDFR9B73U3DCZU,payment,WB-106369,2312324,INR,captured,wallet,TRUE,Payment for WB-106369 Rubber foot mat,,,,46246,8324,1772620260,
pay_SDTZEPUR7URDKT,payment,WB-106476,7147530,INR,captured,card,TRUE,Payment for WB-106476 Rubber foot mat,,,,142951,25731,1772623800,
pay_HRX6HEP405GEV3,payment,WB-106510,3298316,INR,captured,wallet,TRUE,Payment for WB-106510 Rubber foot mat,,,,65966,11874,1772624160,
pay_2J241KCPDZKQAX,payment,WB-106827,2973720,INR,captured,upi,TRUE,Payment for WB-106827 Rubber foot mat,,,,59474,10705,1772623620,
pay_K598BSJC8S66DU,payment,WB-107106,6808500,INR,captured,card,TRUE,Payment for WB-107106 Steel tiffin carrier,,,,136170,24511,1772643000,
pay_EG4VTWKTAJDB72,payment,WB-107222,8025700,INR,captured,upi,TRUE,Payment for WB-107222 Mixer jar spare,,,,160514,28893,1772634060,
pay_XQERTEB73LMF1A,payment,WB-107896,5732400,INR,captured,emi,TRUE,Payment for WB-107896 Mixer jar spare,,,,114648,20637,1772629980,
pay_59LS0ZU626ZAF5,payment,WB-107973,7375800,INR,captured,wallet,TRUE,Payment for WB-107973 Trolley bag 24 inch,,,,147516,26553,1772644140,
pay_549F5VCLMLYJVZ,payment,WB-108034,2278900,INR,captured,emi,TRUE,Payment for WB-108034 Coir door mat,,,,45578,8204,1772653200,
pay_M39CRYY3G9822Z,payment,WB-108129,1060200,INR,captured,upi,TRUE,Payment for WB-108129 Coir door mat,,,,21204,3817,1772637180,
pay_4SHNUUS7N7K2QS,payment,WB-108148,5557200,INR,captured,upi,TRUE,Payment for WB-108148 Copper water bottle,,,,111144,20006,1772616960,
pay_9B6KFZFXSPXP26,payment,WB-108165,1737800,INR,captured,wallet,TRUE,Payment for WB-108165 Trolley bag 24 inch,,,,34756,6256,1772646960,
pay_WACU293B9WXYC8,payment,WB-108204,7730547,INR,captured,card,TRUE,Payment for WB-108204 Steel tiffin carrier,,,,154611,27830,1772614620,
pay_URV9K2H5ZU4GLZ,payment,WB-108855,5944479,INR,captured,emi,TRUE,Payment for WB-108855 Copper water bottle,,,,118890,21400,1772654820,
pay_RE4B9N0Y2150DJ,payment,WB-108860,8874295,INR,captured,upi,TRUE,Payment for WB-108860 Trolley bag 24 inch,,,,177486,31947,1772644680,
pay_LKXXQFRQZ00146,payment,WB-109232,6509100,INR,captured,netbanking,TRUE,Payment for WB-109232 Copper water bottle,,,,130182,23433,1772636400,
pay_YNLLM75BPWEXNM,payment,WB-109302,5067300,INR,captured,wallet,TRUE,Payment for WB-109302 Copper water bottle,,,,101346,18242,1772641920,
pay_S827JZ1G16RX9V,payment,WB-109417,7767536,INR,captured,card,TRUE,Payment for WB-109417 Mixer jar spare,,,,155351,27963,1772637720,
pay_V54EBD3SKB6CSG,payment,WB-109546,7984100,INR,captured,netbanking,TRUE,Payment for WB-109546 Trolley bag 24 inch,,,,159682,28743,1772625660,
pay_RGP3JGHY1YWV2M,payment,WB-109626,841049,INR,captured,card,TRUE,Payment for WB-109626 Steel tiffin carrier,,,,16821,3028,1772622960,
pay_5SR0GX9ZCKG9DM,payment,WB-109736,7801000,INR,captured,card,TRUE,Payment for WB-109736 Coir door mat,,,,156020,28084,1772622960,
pay_T3450GX2C3KG99,payment,WB-109804,7368300,INR,captured,wallet,TRUE,Payment for WB-109804 Trolley bag 24 inch,,,,147366,26526,1772627520,
pay_1WB7NNTAEHS7Q9,payment,WB-109943,7940203,INR,captured,upi,TRUE,Payment for WB-109943 Steel tiffin carrier,,,,158804,28585,1772657040,
pay_MPGU47NW39J08N,payment,WB-104175,7798390,INR,captured,wallet,TRUE,Payment for WB-104175 Copper water bottle,,,,155968,28074,1772726160,
pay_6RWA16JYLLHRE3,payment,WB-104258,5700600,INR,captured,netbanking,TRUE,Payment for WB-104258 Copper water bottle,,,,114012,20522,1772742420,
pay_WRKK018UWKC287,payment,WB-104662,778300,INR,captured,wallet,TRUE,Payment for WB-104662 Trolley bag 24 inch,,,,15566,2802,1772732940,
pay_RN9G5M6FRXUYKH,payment,WB-104934,4834630,INR,captured,netbanking,TRUE,Payment for WB-104934 Steel tiffin carrier,,,,96693,17405,1772734440,
pay_F5KRZBQR6F4CHD,payment,WB-104987,7949300,INR,captured,wallet,TRUE,Payment for WB-104987 Coir door mat,,,,158986,28617,1772742240,
pay_QBUHWWBKU0Z6C6,payment,WB-105275,1139592,INR,captured,card,TRUE,Payment for WB-105275 Rubber foot mat,,,,22792,4103,1772740800,
pay_R2Q2Z8FY3YWW82,payment,WB-105796,9055400,INR,captured,emi,TRUE,Payment for WB-105796 Steel tiffin carrier,,,,181108,32599,1772738940,
pay_P4Y54QE8XPYX8B,payment,WB-105874,3936989,INR,captured,emi,TRUE,Payment for WB-105874 Steel tiffin carrier,,,,78740,14173,1772727900,
pay_704B2J16BL27TY,payment,WB-105991,7486500,INR,captured,card,TRUE,Payment for WB-105991 Steel tiffin carrier,,,,149730,26951,1772708640,
pay_2BGF645ZMXBUKQ,payment,WB-106014,4748400,INR,captured,emi,TRUE,Payment for WB-106014 Trolley bag 24 inch,,,,94968,17094,1772707260,
pay_PZ00C78N4M42TZ,payment,WB-106268,8072008,INR,captured,card,TRUE,Payment for WB-106268 Rubber foot mat,,,,161440,29059,1772718180,
pay_4NVJK7K445QTTG,payment,WB-106304,6440966,INR,captured,emi,TRUE,Payment for WB-106304 Copper water bottle,,,,128819,23187,1772739480,
pay_MF94LFYWXAQ8H6,payment,WB-106330,4274500,INR,captured,card,TRUE,Payment for WB-106330 Steel tiffin carrier,,,,85490,15388,1772719620,
pay_AUQFL1AP3V0TD7,payment,WB-106472,6708739,INR,captured,upi,TRUE,Payment for WB-106472 Trolley bag 24 inch,,,,134175,24152,1772718960,
pay_LL41607DFJS4TW,payment,WB-106500,4611601,INR,captured,netbanking,TRUE,Payment for WB-106500 Rubber foot mat,,,,92232,16602,1772741880,
pay_AYK955WNZ9MKS3,payment,WB-106551,5262800,INR,captured,wallet,TRUE,Payment for WB-106551 Trolley bag 24 inch,,,,105256,18946,1772741400,
pay_9PZSFANF17TEH0,payment,WB-106709,6005800,INR,captured,wallet,TRUE,Payment for WB-106709 Coir door mat,,,,120116,21621,1772736240,
pay_X15WN3RHXJA3M6,payment,WB-106768,7693600,INR,captured,netbanking,TRUE,Payment for WB-106768 Mixer jar spare,,,,153872,27697,1772699700,
pay_S9Q7DN2C8RCDVZ,payment,WB-106892,2969000,INR,captured,card,TRUE,Payment for WB-106892 Steel tiffin carrier,,,,59380,10688,1772713440,
pay_N39P5SGUQHM6TE,payment,WB-106918,5295800,INR,captured,wallet,TRUE,Payment for WB-106918 Rubber foot mat,,,,105916,19065,1772724540,
