Txn Id,Merchant Ref No,Payer VPA,Payer Name,Txn Date,Credit Date,Settlement Utr,Txn Amount,MDR,GST,Net Amount,Refund Amount,Status,Remarks
UPI919900905222,GLX-205830,sanchit88@okhdfcbank,Sanchit Hardware Depot Pvt Ltd,01/03/2026 13:46,02/03/2026,AXISUPI260302700,"₹9,600.00",₹192.00,₹34.56,"₹9,373.44",,SUCCESS,UPI collect for GLX-205830 Site erection charges
UPI365982312537,GLX-206584,vaayu15@okaxis,Vaayu Organics Private Limited,01/03/2026 17:20,02/03/2026,AXISUPI260302600,"₹26,195.00",₹523.90,₹94.30,"₹25,576.80",,SUCCESS,UPI collect for GLX-206584 Scrap sale realisation
UPI101716184256,GLX-206948,jashan02@okkotak,Jashan Sports Goods Pvt Ltd,01/03/2026 11:30,03/03/2026,AXISUPI260303679,"₹13,037.79",₹260.76,₹46.94,"₹12,730.09",,SUCCESS,UPI collect for GLX-206948 Contract manufacturing charges
UPI807893223156,GLX-207029,kesari49@ybl,Kesari Handlooms Pvt Ltd,01/03/2026 11:16,02/03/2026,AXISUPI260302500,"₹93,298.00","₹1,865.96",₹335.87,"₹91,096.17",,SUCCESS,UPI collect for GLX-207029 Freight recovery billing
UPI408819548602,GLX-207042,girnar34@oksbi,Girnar Pipes and Fittings Pvt Ltd,01/03/2026 08:05,03/03/2026,AXISUPI260303171,"₹45,513.71",₹910.27,₹163.85,"₹44,439.59",,SUCCESS,UPI collect for GLX-207042 Secondary transport recovery
UPI862784170901,GLX-207114,ojas96@okhdfcbank,Ojas Lighting Private Limited,01/03/2026 12:41,02/03/2026,AXISUPI260302100,"₹85,392.00","₹1,707.84",₹307.41,"₹83,376.75",,SUCCESS,UPI collect for GLX-207114 Sample despatch billing
UPI293076084943,GLX-207341,sohrab77@okaxis,Sohrab Auto Spares LLP,01/03/2026 12:01,02/03/2026,AXISUPI260302600,"₹70,286.00","₹1,405.72",₹253.03,"₹68,627.25",,SUCCESS,UPI collect for GLX-207341 Consignment despatch
UPI340418163962,GLX-207384,palashwood27@okhdfcbank,Palashwood Interiors Pvt Ltd,01/03/2026 13:00,02/03/2026,AXISUPI260302400,"₹50,934.00","₹1,018.68",₹183.36,"₹49,731.96",,SUCCESS,UPI collect for GLX-207384 Contract manufacturing charges
UPI953846691441,GLX-207981,tanmay93@okaxis,Tanmay Toolroom Private Limited,01/03/2026 13:36,02/03/2026,AXISUPI260302810,"₹44,098.10",₹881.96,₹158.75,"₹43,057.39",,SUCCESS,UPI collect for GLX-207981 Packaging material supply
UPI285757699882,GLX-208032,madhuban65@okaxis,Madhuban Nurseries Pvt Ltd,01/03/2026 18:24,02/03/2026,AXISUPI260302600,"₹72,707.00","₹1,454.14",₹261.75,"₹70,991.11",,SUCCESS,UPI collect for GLX-208032 Palletisation charges
UPI652156982857,GLX-208223,bhavani67@okhdfcbank,Bhavani Steel Trading Pvt Ltd,01/03/2026 19:46,02/03/2026,AXISUPI260302100,"₹19,584.00",₹391.68,₹70.50,"₹19,121.82",,SUCCESS,UPI collect for GLX-208223 Trial batch supply
UPI450647573854,GLX-208387,devgiri01@ybl,Devgiri Paints LLP,01/03/2026 15:03,02/03/2026,AXISUPI260302500,"₹9,571.00",₹191.42,₹34.46,"₹9,345.12",,SUCCESS,UPI collect for GLX-208387 Annual maintenance billing
UPI539820160690,GLX-209042,tarangini29@okhdfcbank,Tarangini Prints LLP,01/03/2026 12:13,02/03/2026,AXISUPI260302634,"₹65,732.34","₹1,314.65",₹236.64,"₹64,181.05",,SUCCESS,UPI collect for GLX-209042 Packaging material supply
UPI315409463653,GLX-209664,utsav31@okhdfcbank,Utsav Bakers LLP,01/03/2026 14:55,02/03/2026,AXISUPI260302400,"₹7,932.00",₹158.64,₹28.56,"₹7,744.80",,SUCCESS,UPI collect for GLX-209664 Testing and calibration charges
UPI123755869522,GLX-209978,prithvi07@ybl,Prithvi Seeds and Feeds Pvt Ltd,01/03/2026 16:21,02/03/2026,AXISUPI260302200,"₹55,648.00","₹1,112.96",₹200.33,"₹54,334.71",,SUCCESS,UPI collect for GLX-209978 Bulk despatch schedule A
UPI498573769208,GLX-204464,tarangini09@oksbi,Tarangini Prints LLP,02/03/2026 09:46,04/03/2026,AXISUPI260304885,"₹93,418.85","₹1,868.38",₹336.31,"₹91,214.16",,SUCCESS,UPI collect for GLX-204464 Design retainer billing
UPI791609591296,GLX-204491,ojas26@okaxis,Ojas Lighting Private Limited,02/03/2026 15:43,03/03/2026,AXISUPI260303300,"₹36,416.00",₹728.32,₹131.10,"₹35,556.58",,SUCCESS,UPI collect for GLX-204491 Palletisation charges
UPI262910892664,GLX-204825,ranjeet07@ybl,Ranjeet Timber Depot Pvt Ltd,02/03/2026 10:05,03/03/2026,AXISUPI260303650,"₹1,958.50",₹39.17,₹7.05,"₹1,912.28",,SUCCESS,UPI collect for GLX-204825 Warehouse handling recovery
UPI703686277017,GLX-204883,ambar44@okaxis,Ambar Cold Rooms Pvt Ltd,02/03/2026 15:29,03/03/2026,AXISUPI260303900,"₹47,771.00",₹955.42,₹171.98,"₹46,643.60",,SUCCESS,UPI collect for GLX-204883 Spare kit despatch
UPI916299588234,GLX-205130,bhoomi84@okicici,Bhoomi Tiles and Sanitary LLP,02/03/2026 20:13,04/03/2026,AXISUPI260304515,"₹22,333.15",₹446.66,₹80.40,"₹21,806.09",,SUCCESS,UPI collect for GLX-205130 Tooling amortisation billing
UPI137844902026,GLX-205143,chandravat43@okaxis,Chandravat Metals Private Limited,02/03/2026 11:39,03/03/2026,AXISUPI260303438,"₹75,306.38","₹1,506.13",₹271.10,"₹73,529.15",,SUCCESS,UPI collect for GLX-205143 Bulk despatch schedule A
UPI292396889471,GLX-205334,ekansh87@okaxis,Ekansh Glassworks Private Limited,02/03/2026 16:28,03/03/2026,AXISUPI260303948,"₹38,231.48",₹764.63,₹137.63,"₹37,329.22",,SUCCESS,UPI collect for GLX-205334 Rework charges billed
UPI843737064084,GLX-205599,chirag29@okhdfcbank,Chirag Battery House Pvt Ltd,02/03/2026 20:13,03/03/2026,AXISUPI260303100,"₹5,571.00",₹111.42,₹20.06,"₹5,439.52",,SUCCESS,UPI collect for GLX-205599 Machinery hire charges
UPI581474083844,GLX-205624,chandravat18@ybl,Chandravat Metals Private Limited,02/03/2026 08:55,29/03/2026,AXISUPI260329818,"₹28,906.18",₹578.12,₹104.06,"₹28,224.00",,SUCCESS,UPI collect for GLX-205624 Bulk despatch schedule A
UPI288103147602,GLX-206032,prithvi86@okhdfcbank,Prithvi Seeds and Feeds Pvt Ltd,02/03/2026 18:04,03/03/2026,AXISUPI260303100,"₹82,899.00","₹1,657.98",₹298.44,"₹80,942.58",,SUCCESS,UPI collect for GLX-206032 Consignment despatch
UPI867086603446,GLX-206116,rukmini03@ybl,Rukmini Provisions Private Limited,02/03/2026 16:21,03/03/2026,AXISUPI260303800,"₹38,995.00",₹779.90,₹140.38,"₹38,074.72",,SUCCESS,UPI collect for GLX-206116 Testing and calibration charges
UPI793347998561,GLX-206245,barkat67@oksbi,Barkat Stationers Private Limited,02/03/2026 20:30,04/03/2026,AXISUPI260304861,"₹30,751.61",₹615.03,₹110.71,"₹30,025.87",,SUCCESS,UPI collect for GLX-206245 Trial batch supply
UPI806599133569,GLX-206254,vaayu58@okaxis,Vaayu Organics Private Limited,02/03/2026 10:38,03/03/2026,AXISUPI260303600,"₹19,193.00",₹383.86,₹69.09,"₹18,740.05",,SUCCESS,UPI collect for GLX-206254 Testing and calibration charges
UPI933899495326,GLX-206629,neelkanth22@okhdfcbank,Neelkanth Ceramics Pvt Ltd,02/03/2026 14:27,03/03/2026,AXISUPI260303100,"₹8,802.00",₹176.04,₹31.69,"₹8,594.27",,SUCCESS,UPI collect for GLX-206629 Mould development charges
UPI343082440519,GLX-207045,kalanjali52@ybl,Kalanjali Crafts Pvt Ltd,02/03/2026 10:49,03/03/2026,AXISUPI260303800,"₹60,901.00","₹1,218.02",₹219.24,"₹59,463.74",,SUCCESS,UPI collect for GLX-207045 Job work conversion charges
UPI707714724342,GLX-207521,anokhi27@okhdfcbank,Anokhi Kitchenware Pvt Ltd,02/03/2026 20:13,03/03/2026,AXISUPI260303100,"₹10,485.00",₹209.70,₹37.75,"₹10,237.55",,SUCCESS,UPI collect for GLX-207521 Export documentation recovery
UPI883537400232,GLX-207801,naaz69@okhdfcbank,Naaz Fabrics Private Limited,02/03/2026 10:24,03/03/2026,AXISUPI260303778,"₹37,536.78",₹750.74,₹135.13,"₹36,650.91",,SUCCESS,UPI collect for GLX-207801 Packaging material supply
UPI929274160051,GLX-207932,vindhya15@okaxis,Vindhya Plastics Private Limited,02/03/2026 16:47,03/03/2026,AXISUPI260303600,"₹20,957.00",₹419.14,₹75.45,"₹20,462.41",,SUCCESS,UPI collect for GLX-207932 Freight recovery billing
UPI459882106238,GLX-208371,meghdoot90@okicici,Meghdoot Packaging LLP,02/03/2026 13:19,04/03/2026,AXISUPI260304527,"₹81,598.27","₹1,631.97",₹293.75,"₹79,672.55",,SUCCESS,UPI collect for GLX-208371 Site erection charges
UPI305231608320,GLX-208492,yamini62@okaxis,Yamini Home Needs Pvt Ltd,02/03/2026 18:38,03/03/2026,AXISUPI260303900,"₹24,497.00",₹489.94,₹88.19,"₹23,918.87",,SUCCESS,UPI collect for GLX-208492 Secondary transport recovery
UPI933577531159,GLX-208541,palashwood32@ybl,Palashwood Interiors Pvt Ltd,02/03/2026 20:07,03/03/2026,AXISUPI260303680,"₹25,592.80",₹511.86,₹92.13,"₹24,988.81",,SUCCESS,UPI collect for GLX-208541 Bulk despatch schedule B
UPI346641918542,GLX-208731,kaveri35@ybl,Kaveri Rubber Works Pvt Ltd,02/03/2026 17:26,03/03/2026,AXISUPI260303800,"₹50,290.00","₹1,005.80",₹181.04,"₹49,103.16",,SUCCESS,UPI collect for GLX-208731 Contract manufacturing charges
UPI561634932401,GLX-208823,kesari08@okaxis,Kesari Handlooms Pvt Ltd,02/03/2026 19:43,03/03/2026,AXISUPI260303900,"₹8,765.00",₹175.30,₹31.55,"₹8,558.15",,SUCCESS,UPI collect for GLX-208823 Annual maintenance billing
UPI294324544468,GLX-208992,nirvaan87@ybl,Nirvaan Agro Mills Pvt Ltd,02/03/2026 15:26,03/03/2026,AXISUPI260303200,"₹51,148.00","₹1,022.96",₹184.13,"₹49,940.91",,SUCCESS,UPI collect for GLX-208992 Sample despatch billing
UPI962297597669,GLX-209322,utsav25@okaxis,Utsav Bakers LLP,02/03/2026 08:15,03/03/2026,AXISUPI260303600,"₹81,941.00","₹1,638.82",₹294.99,"₹80,007.19",,SUCCESS,UPI collect for GLX-209322 Scrap sale realisation
UPI271498388807,GLX-209752,madhuban26@okkotak,Madhuban Nurseries Pvt Ltd,02/03/2026 17:30,04/03/2026,AXISUPI260304673,"₹7,421.73",₹148.43,₹26.72,"₹7,246.58",,SUCCESS,UPI collect for GLX-209752 Sample despatch billing
UPI946265011877,GLX-209781,marudhar83@okhdfcbank,Marudhar Furnishings LLP,02/03/2026 15:50,03/03/2026,AXISUPI260303700,"₹32,361.00",₹647.22,₹116.50,"₹31,597.28",,SUCCESS,UPI collect for GLX-209781 Labelling job billing
UPI311913800194,GLX-204287,kalanjali33@okaxis,Kalanjali Crafts Pvt Ltd,03/03/2026 18:47,04/03/2026,AXISUPI260304600,"₹33,476.00",₹669.52,₹120.51,"₹32,685.97",,SUCCESS,UPI collect for GLX-204287 Site erection charges
UPI205040824791,GLX-204559,sanchit27@okhdfcbank,Sanchit Hardware Depot Pvt Ltd,03/03/2026 13:03,04/03/2026,AXISUPI260304328,"₹42,518.28",₹850.37,₹153.07,"₹41,514.84",,SUCCESS,UPI collect for GLX-204559 Job work conversion charges
UPI524152478246,GLX-204839,devgiri12@oksbi,Devgiri Paints LLP,03/03/2026 20:39,05/03/2026,AXISUPI260305135,"₹83,574.35","₹1,671.49",₹300.87,"₹81,601.99",,SUCCESS,UPI collect for GLX-204839 Freight recovery billing
UPI495779755225,GLX-205165,rukmini40@okaxis,Rukmini Provisions Private Limited,03/03/2026 20:33,04/03/2026,AXISUPI260304300,"₹49,160.00",₹983.20,₹176.98,"₹47,999.82",,SUCCESS,UPI collect for GLX-205165 Scrap sale realisation
UPI290082984403,GLX-205188,girnar19@okhdfcbank,Girnar Pipes and Fittings Pvt Ltd,03/03/2026 15:57,04/03/2026,AXISUPI260304904,"₹34,343.04",₹686.86,₹123.63,"₹33,532.55",,SUCCESS,UPI collect for GLX-205188 Export documentation recovery
UPI641873130246,GLX-205286,anokhi56@oksbi,Anokhi Kitchenware Pvt Ltd,03/03/2026 18:41,05/03/2026,AXISUPI260305219,"₹91,936.19","₹1,838.72",₹330.97,"₹89,766.50",,SUCCESS,UPI collect for GLX-205286 Secondary transport recovery
UPI807636788194,GLX-205362,nirvaan57@ybl,Nirvaan Agro Mills Pvt Ltd,03/03/2026 10:31,04/03/2026,AXISUPI260304746,"₹66,093.46","₹1,321.87",₹237.94,"₹64,533.65",,SUCCESS,UPI collect for GLX-205362 Palletisation charges
UPI198807872531,GLX-206233,bhavani94@okaxis,Bhavani Steel Trading Pvt Ltd,03/03/2026 10:15,04/03/2026,AXISUPI260304300,"₹22,115.00",₹442.30,₹79.61,"₹21,593.09",,SUCCESS,UPI collect for GLX-206233 Tooling amortisation billing
UPI220880536865,GLX-206261,ojas63@okhdfcbank,Ojas Lighting Private Limited,03/03/2026 09:36,27/03/2026,AXISUPI260327700,"₹72,771.00","₹1,455.42",₹261.98,"₹71,053.60",,SUCCESS,UPI collect for GLX-206261 Palletisation charges
UPI899149479892,GLX-206369,chirag43@okaxis,Chirag Battery House Pvt Ltd,03/03/2026 18:01,04/03/2026,AXISUPI260304600,"₹6,287.00",₹125.74,₹22.63,"₹6,138.63",,SUCCESS,UPI collect for GLX-206369 Mould development charges
UPI101835796994,GLX-206381,tanmay58@oksbi,Tanmay Toolroom Private Limited,03/03/2026 16:37,05/03/2026,AXISUPI260305705,"₹29,247.05",₹584.94,₹105.29,"₹28,556.82",,SUCCESS,UPI collect for GLX-206381 Design retainer billing
UPI265843896908,GLX-207083,yamini39@okhdfcbank,Yamini Home Needs Pvt Ltd,03/03/2026 08:27,04/03/2026,AXISUPI260304454,"₹36,273.54",₹725.47,₹130.58,"₹35,417.49",,SUCCESS,UPI collect for GLX-207083 Export documentation recovery
UPI841788365244,GLX-207112,palashwood05@okhdfcbank,Palashwood Interiors Pvt Ltd,03/03/2026 13:46,04/03/2026,AXISUPI260304400,"₹28,164.00",₹563.28,₹101.39,"₹27,499.33",,SUCCESS,UPI collect for GLX-207112 Contract manufacturing charges
UPI279382198687,GLX-207449,sohrab39@okicici,Sohrab Auto Spares LLP,03/03/2026 19:10,05/03/2026,AXISUPI260305533,"₹30,460.33",₹609.21,₹109.66,"₹29,741.46",,SUCCESS,UPI collect for GLX-207449 Bulk despatch schedule A
UPI362148726184,GLX-208187,utsav29@ybl,Utsav Bakers LLP,03/03/2026 18:07,04/03/2026,AXISUPI260304500,"₹7,996.00",₹159.92,₹28.79,"₹7,807.29",,SUCCESS,UPI collect for GLX-208187 Testing and calibration charges
UPI769461800511,GLX-208449,chandravat32@ybl,Chandravat Metals Private Limited,03/03/2026 17:21,04/03/2026,AXISUPI260304554,"₹52,114.54","₹1,042.29",₹187.61,"₹50,884.64",,SUCCESS,UPI collect for GLX-208449 Consignment despatch
UPI730567371673,GLX-208497,sitara27@okaxis,Sitara Packaging Solutions Pvt Ltd,03/03/2026 17:32,04/03/2026,AXISUPI260304948,"₹37,241.48",₹744.83,₹134.07,"₹36,362.58",,SUCCESS,UPI collect for GLX-208497 Spare kit despatch
UPI162983715936,GLX-208542,vindhya54@okhdfcbank,Vindhya Plastics Private Limited,03/03/2026 09:44,04/03/2026,AXISUPI260304742,"₹61,017.42","₹1,220.35",₹219.66,"₹59,577.41",,SUCCESS,UPI collect for GLX-208542 Annual maintenance billing
UPI158490297844,GLX-208628,ambar41@okhdfcbank,Ambar Cold Rooms Pvt Ltd,03/03/2026 13:27,04/03/2026,AXISUPI260304700,"₹37,779.00",₹755.58,₹136.00,"₹36,887.42",,SUCCESS,UPI collect for GLX-208628 Warehouse handling recovery
UPI865066357434,GLX-208678,marudhar88@okaxis,Marudhar Furnishings LLP,03/03/2026 18:14,04/03/2026,AXISUPI260304108,"₹5,103.08",₹102.06,₹18.37,"₹4,982.65",,SUCCESS,UPI collect for GLX-208678 Rework charges billed
UPI373931274088,GLX-208978,ojas77@okkotak,Ojas Lighting Private Limited,03/03/2026 15:18,05/03/2026,AXISUPI260305397,"₹64,757.97","₹1,295.16",₹233.13,"₹63,229.68",,SUCCESS,UPI collect for GLX-208978 Sample despatch billing
UPI190617273221,GLX-208979,bhoomi11@oksbi,Bhoomi Tiles and Sanitary LLP,03/03/2026 17:33,05/03/2026,AXISUPI260305471,"₹89,220.71","₹1,784.41",₹321.19,"₹87,115.11",,SUCCESS,UPI collect for GLX-208979 Trial batch supply
UPI458737330558,GLX-209394,shubhankar64@okicici,Shubhankar Electricals LLP,03/03/2026 18:20,05/03/2026,AXISUPI260305305,"₹50,492.05","₹1,009.84",₹181.77,"₹49,300.44",,SUCCESS,UPI collect for GLX-209394 Machinery hire charges
UPI595739279019,GLX-209512,suvarna13@okaxis,Suvarna Weaves LLP,03/03/2026 08:20,04/03/2026,AXISUPI260304900,"₹91,637.00","₹1,832.74",₹329.89,"₹89,474.37",,SUCCESS,UPI collect for GLX-209512 Labelling job billing
UPI116031372423,GLX-209786,tarangini64@okicici,Tarangini Prints LLP,03/03/2026 11:49,05/03/2026,AXISUPI260305677,"₹22,532.77",₹450.66,₹81.12,"₹22,000.99",,SUCCESS,UPI collect for GLX-209786 Packaging material supply
UPI468809756140,GLX-209844,jashan79@okhdfcbank,Jashan Sports Goods Pvt Ltd,03/03/2026 18:13,04/03/2026,AXISUPI260304400,"₹90,786.00","₹1,815.72",₹326.83,"₹88,643.45",,SUCCESS,UPI collect for GLX-209844 Bulk despatch schedule B
UPI710884894223,GLX-204696,ranjeet00@okkotak,Ranjeet Timber Depot Pvt Ltd,04/03/2026 10:33,06/03/2026,AXISUPI260306835,"₹73,870.35","₹1,477.41",₹265.93,"₹72,127.01",,SUCCESS,UPI collect for GLX-204696 Spare kit despatch
UPI971065437281,GLX-204878,chirag23@okaxis,Chirag Battery House Pvt Ltd,04/03/2026 19:56,05/03/2026,AXISUPI260305900,"₹48,734.00",₹974.68,₹175.44,"₹47,583.88",,SUCCESS,UPI collect for GLX-204878 Machinery hire charges
UPI840809821346,GLX-205000,sohrab54@okaxis,Sohrab Auto Spares LLP,04/03/2026 10:01,05/03/2026,AXISUPI260305600,"₹70,052.00","₹1,401.04",₹252.19,"₹68,398.77",,SUCCESS,UPI collect for GLX-205000 Consignment despatch
UPI352248271582,GLX-205063,vaayu79@okicici,Vaayu Organics Private Limited,04/03/2026 11:39,06/03/2026,AXISUPI260306497,"₹53,247.97","₹1,064.96",₹191.69,"₹51,991.32",,SUCCESS,UPI collect for GLX-205063 Scrap sale realisation
UPI455669765827,GLX-205160,rukmini04@okhdfcbank,Rukmini Provisions Private Limited,04/03/2026 09:22,05/03/2026,AXISUPI260305274,"₹41,428.74",₹828.57,₹149.14,"₹40,451.03",,SUCCESS,UPI collect for GLX-205160 Testing and calibration charges
UPI319591551565,GLX-205374,kesari30@oksbi,Kesari Handlooms Pvt Ltd,04/03/2026 11:42,06/03/2026,AXISUPI260306177,"₹85,797.77","₹1,715.96",₹308.87,"₹83,772.94",,SUCCESS,UPI collect for GLX-205374 Freight recovery billing
UPI695947262123,GLX-205685,suvarna14@okicici,Suvarna Weaves LLP,04/03/2026 15:31,06/03/2026,AXISUPI260306923,"₹64,502.23","₹1,290.04",₹232.21,"₹62,979.98",,SUCCESS,UPI collect for GLX-205685 Rework charges billed
UPI654707720341,GLX-205972,shubhankar72@ybl,Shubhankar Electricals LLP,04/03/2026 20:44,05/03/2026,AXISUPI260305200,"₹50,464.00","₹1,009.28",₹181.67,"₹49,273.05",,SUCCESS,UPI collect for GLX-205972 Mould development charges
UPI413702401986,GLX-206113,ekansh22@okhdfcbank,Ekansh Glassworks Private Limited,04/03/2026 17:03,05/03/2026,AXISUPI260305562,"₹9,040.62",₹180.81,₹32.55,"₹8,827.26",,SUCCESS,UPI collect for GLX-206113 Labelling job billing
UPI987008603510,GLX-206266,devgiri87@ybl,Devgiri Paints LLP,04/03/2026 19:03,05/03/2026,AXISUPI260305200,"₹44,164.00",₹883.28,₹158.99,"₹43,121.73",,SUCCESS,UPI collect for GLX-206266 Annual maintenance billing
UPI501284298719,GLX-206600,girnar66@okaxis,Girnar Pipes and Fittings Pvt Ltd,04/03/2026 12:29,05/03/2026,AXISUPI260305600,"₹12,632.00",₹252.64,₹45.48,"₹12,333.88",,SUCCESS,UPI collect for GLX-206600 Secondary transport recovery
UPI696748638113,GLX-206775,barkat79@ybl,Barkat Stationers Private Limited,04/03/2026 20:44,05/03/2026,AXISUPI260305200,"₹33,265.00",₹665.30,₹119.75,"₹32,479.95",,SUCCESS,UPI collect for GLX-206775 Tooling amortisation billing
UPI166478091935,GLX-206806,sanchit10@okhdfcbank,Sanchit Hardware Depot Pvt Ltd,04/03/2026 11:04,05/03/2026,AXISUPI260305700,"₹95,613.00","₹1,912.26",₹344.21,"₹93,356.53",,SUCCESS,UPI collect for GLX-206806 Site erection charges
UPI636339431490,GLX-206979,bhavani52@ybl,Bhavani Steel Trading Pvt Ltd,04/03/2026 19:36,05/03/2026,AXISUPI260305392,"₹76,358.92","₹1,527.18",₹274.89,"₹74,556.85",,SUCCESS,UPI collect for GLX-206979 Trial batch supply
UPI998287020342,GLX-207255,naaz09@okhdfcbank,Naaz Fabrics Private Limited,04/03/2026 17:23,05/03/2026,AXISUPI260305100,"₹64,314.00","₹1,286.28",₹231.53,"₹62,796.19",,SUCCESS,UPI collect for GLX-207255 Design retainer billing
UPI711554002552,GLX-207368,madhuban21@okaxis,Madhuban Nurseries Pvt Ltd,04/03/2026 14:38,05/03/2026,AXISUPI260305600,"₹64,706.00","₹1,294.12",₹232.94,"₹63,178.94",,SUCCESS,UPI collect for GLX-207368 Palletisation charges
UPI282316545730,GLX-207510,nirvaan05@okaxis,Nirvaan Agro Mills Pvt Ltd,04/03/2026 11:47,05/03/2026,AXISUPI260305300,"₹7,697.00",₹153.94,₹27.71,"₹7,515.35",,SUCCESS,UPI collect for GLX-207510 Sample despatch billing
UPI334951661591,GLX-207550,sitara12@okaxis,Sitara Packaging Solutions Pvt Ltd,04/03/2026 20:23,05/03/2026,AXISUPI260305408,₹939.08,₹18.78,₹3.38,₹916.92,,SUCCESS,UPI collect for GLX-207550 Warehouse handling recovery
UPI292710156089,GLX-207569,anokhi52@oksbi,Anokhi Kitchenware Pvt Ltd,04/03/2026 17:22,06/03/2026,AXISUPI260306507,"₹68,206.07","₹1,364.12",₹245.54,"₹66,596.41",,SUCCESS,UPI collect for GLX-207569 Export documentation recovery
UPI753495795344,GLX-207691,vindhya29@okhdfcbank,Vindhya Plastics Private Limited,04/03/2026 17:00,05/03/2026,AXISUPI260305700,"₹27,105.00",₹542.10,₹97.58,"₹26,465.32",,SUCCESS,UPI collect for GLX-207691 Freight recovery billing
UPI267783346832,GLX-207742,prithvi18@okaxis,Prithvi Seeds and Feeds Pvt Ltd,04/03/2026 11:56,05/03/2026,AXISUPI260305600,"₹45,887.00",₹917.74,₹165.19,"₹44,804.07",,SUCCESS,UPI collect for GLX-207742 Bulk despatch schedule A
UPI136321774602,GLX-208545,tanmay70@okicici,Tanmay Toolroom Private Limited,04/03/2026 12:26,06/03/2026,AXISUPI260306383,"₹34,463.83",₹689.28,₹124.07,"₹33,650.48",,SUCCESS,UPI collect for GLX-208545 Packaging material supply
UPI670510929441,GLX-208581,jashan05@ybl,Jashan Sports Goods Pvt Ltd,04/03/2026 20:44,05/03/2026,AXISUPI260305200,"₹56,197.00","₹1,123.94",₹202.31,"₹54,870.75",,SUCCESS,UPI collect for GLX-208581 Contract manufacturing charges
UPI434148305044,GLX-208916,meghdoot88@okhdfcbank,Meghdoot Packaging LLP,04/03/2026 15:23,05/03/2026,AXISUPI260305400,"₹78,276.00","₹1,565.52",₹281.79,"₹76,428.69",,SUCCESS,UPI collect for GLX-208916 Job work conversion charges
