Order Reference,Placed On,Customer Name,Status,Currency,Item Name,Qty,Total Amount,GST,Sales Channel,Notes
WB-106401,2026-03-03T18:55:20Z,Ojas Lighting Private Limited,PAID,INR,Coir door mat,3,29967.00,2285.62,Phone order,Web order - Coir door mat
WB-106866,2026-03-03T12:24:46Z,Jashan Sports Goods Pvt Ltd,PAID,INR,Steel tiffin carrier,1,35969.00,2743.40,Web,Web order - Steel tiffin carrier
WB-107017,2026-03-03T17:40:53Z,Chandravat Metals Private Limited,PAID,INR,Copper water bottle,4,23101.00,1761.94,Marketplace,Web order - Copper water bottle
WB-107192,2026-03-03T13:47:03Z,Tanmay Toolroom Private Limited,PAID,INR,Copper water bottle,2,76633.31,5844.91,Mobile app,Web order - Copper water bottle
WB-107345,2026-03-03T16:08:17Z,Suvarna Weaves LLP,PAID,INR,Trolley bag 24 inch,2,70427.33,5371.58,Mobile app,Web order - Trolley bag 24 inch
WB-107439,2026-03-03T13:43:46Z,Barkat Stationers Private Limited,PAID,INR,Rubber foot mat,4,11885.00,906.48,Marketplace,Web order - Rubber foot mat
WB-107681,2026-03-03T17:11:28Z,Meghdoot Packaging LLP,PAID,INR,Mixer jar spare,3,50795.04,3874.20,Phone order,Web order - Mixer jar spare
WB-107784,2026-03-03T13:20:26Z,Sohrab Auto Spares LLP,PAID,INR,Copper water bottle,4,70226.00,5356.22,Marketplace,Web order - Copper water bottle
WB-108520,2026-03-03T11:24:06Z,Prithvi Seeds and Feeds Pvt Ltd,PAID,INR,Copper water bottle,4,22358.00,1705.27,Marketplace,Web order - Copper water bottle
WB-108524,2026-03-03T15:18:19Z,Rukmini Provisions Private Limited,PAID,INR,Trolley bag 24 inch,4,56349.57,4297.85,Marketplace,Web order - Trolley bag 24 inch
WB-108613,2026-03-03T15:16:53Z,Madhuban Nurseries Pvt Ltd,PAID,INR,Coir door mat,3,41623.00,3174.64,Phone order,Web order - Coir door mat
WB-108662,2026-03-03T10:43:26Z,Devgiri Paints LLP,PAID,INR,Rubber foot mat,2,80813.60,6163.75,Mobile app,Web order - Rubber foot mat
WB-108965,2026-03-03T10:41:40Z,Girnar Pipes and Fittings Pvt Ltd,PAID,INR,Mixer jar spare,1,45300.00,3455.08,Web,Web order - Mixer jar spare
WB-109081,2026-03-03T20:10:06Z,Marudhar Furnishings LLP,PAID,INR,Trolley bag 24 inch,2,76106.00,5804.69,Mobile app,Web order - Trolley bag 24 inch
WB-109092,2026-03-03T19:15:46Z,Prithvi Seeds and Feeds Pvt Ltd,PAID,INR,Copper water bottle,4,77612.00,5919.56,Marketplace,Web order - Copper water bottle
WB-109144,2026-03-03T13:16:13Z,Vaayu Organics Private Limited,PAID,INR,Trolley bag 24 inch,4,42754.00,3260.90,Marketplace,Web order - Trolley bag 24 inch
WB-109277,2026-03-03T08:12:53Z,Kesari Handlooms Pvt Ltd,PAID,INR,Rubber foot mat,2,19306.61,1472.54,Mobile app,Web order - Rubber foot mat
WB-109427,2026-03-03T18:58:54Z,Chirag Battery House Pvt Ltd,PAID,INR,Steel tiffin carrier,3,48320.83,3685.49,Phone order,Web order - Steel tiffin carrier
WB-109449,2026-03-03T13:56:06Z,Utsav Bakers LLP,PAID,INR,Trolley bag 24 inch,4,49943.00,3809.21,Marketplace,Web order - Trolley bag 24 inch
WB-109932,2026-03-03T16:45:56Z,Palashwood Interiors Pvt Ltd,PAID,INR,Steel tiffin carrier,1,79955.89,6098.33,Web,Web order - Steel tiffin carrier
WB-109969,2026-03-03T18:46:41Z,Kalanjali Crafts Pvt Ltd,PAID,INR,Mixer jar spare,3,82030.84,6256.59,Phone order,Web order - Mixer jar spare
WB-104130,2026-03-04T11:10:26Z,Yamini Home Needs Pvt Ltd,PAID,INR,Mixer jar spare,1,4720.40,360.03,Web,Web order - Mixer jar spare
WB-104289,2026-03-04T10:49:33Z,Sanchit Hardware Depot Pvt Ltd,PAID,INR,Mixer jar spare,3,69364.00,5290.47,Phone order,Web order - Mixer jar spare
WB-104671,2026-03-04T08:56:03Z,Suvarna Weaves LLP,PAID,INR,Trolley bag 24 inch,2,45707.51,3486.17,Mobile app,Web order - Trolley bag 24 inch
WB-104744,2026-03-04T11:44:54Z,Neelkanth Ceramics Pvt Ltd,PAID,INR,Steel tiffin carrier,3,79651.64,6075.13,Phone order,Web order - Steel tiffin carrier
WB-104782,2026-03-04T09:01:26Z,Barkat Stationers Private Limited,PAID,INR,Rubber foot mat,4,29960.00,2285.08,Marketplace,Web order - Rubber foot mat
WB-104875,2026-03-04T20:04:40Z,Shubhankar Electricals LLP,PAID,INR,Steel tiffin carrier,3,11334.00,864.46,Phone order,Web order - Steel tiffin carrier
WB-104901,2026-03-04T09:26:55Z,Kesari Handlooms Pvt Ltd,PAID,INR,Rubber foot mat,2,69758.85,5320.59,Mobile app,Web order - Rubber foot mat
WB-104997,2026-03-04T15:26:16Z,Meghdoot Packaging LLP,PAID,INR,Mixer jar spare,3,73627.70,5615.67,Phone order,Web order - Mixer jar spare
WB-105031,2026-03-04T11:06:08Z,Bhoomi Tiles and Sanitary LLP,PAID,INR,Rubber foot mat,4,63313.46,4828.99,Marketplace,Web order - Rubber foot mat
WB-105449,2026-03-04T17:16:50Z,Ambar Cold Rooms Pvt Ltd,PAID,INR,Coir door mat,1,86644.52,6608.48,Web,Web order - Coir door mat
WB-105500,2026-03-04T10:32:20Z,Anokhi Kitchenware Pvt Ltd,PAID,INR,Mixer jar spare,1,72357.00,5518.75,Web,Web order - Mixer jar spare
WB-105574,2026-03-04T15:53:13Z,Sohrab Auto Spares LLP,PAID,INR,Copper water bottle,4,5233.00,399.13,Marketplace,Web order - Copper water bottle
WB-105975,2026-03-04T14:55:19Z,Nirvaan Agro Mills Pvt Ltd,PAID,INR,Coir door mat,3,7549.78,575.83,Phone order,Web order - Coir door mat
WB-106000,2026-03-04T13:45:38Z,Utsav Bakers LLP,PAID,INR,Trolley bag 24 inch,4,39302.34,2997.64,Marketplace,Web order - Trolley bag 24 inch
WB-106106,2026-03-04T14:26:15Z,Sitara Packaging Solutions Pvt Ltd,PAID,INR,Coir door mat,1,23996.26,1830.22,Web,Web order - Coir door mat
WB-106287,2026-03-04T20:30:33Z,Naaz Fabrics Private Limited,PAID,INR,Copper water bottle,2,76834.00,5860.22,Mobile app,Web order - Copper water bottle
WB-106369,2026-03-04T10:31:14Z,Devgiri Paints LLP,PAID,INR,Rubber foot mat,2,23123.24,1763.64,Mobile app,Web order - Rubber foot mat
WB-106476,2026-03-04T11:30:30Z,Bhavani Steel Trading Pvt Ltd,PAID,INR,Rubber foot mat,4,71475.30,5451.51,Marketplace,Web order - Rubber foot mat
WB-106510,2026-03-04T11:36:58Z,Barkat Stationers Private Limited,PAID,INR,Rubber foot mat,4,32983.16,2515.66,Marketplace,Web order - Rubber foot mat
WB-106827,2026-03-04T11:27:40Z,Vindhya Plastics Private Limited,PAID,INR,Rubber foot mat,2,29737.20,2268.09,Mobile app,Web order - Rubber foot mat
WB-107106,2026-03-04T16:50:00Z,Jashan Sports Goods Pvt Ltd,PAID,INR,Steel tiffin carrier,1,68085.00,5192.92,Web,Web order - Steel tiffin carrier
WB-107222,2026-03-04T14:21:13Z,Girnar Pipes and Fittings Pvt Ltd,PAID,INR,Mixer jar spare,1,80257.00,6121.30,Web,Web order - Mixer jar spare
WB-107896,2026-03-04T13:13:40Z,Kalanjali Crafts Pvt Ltd,PAID,INR,Mixer jar spare,3,57324.00,4372.17,Phone order,Web order - Mixer jar spare
WB-107973,2026-03-04T17:09:40Z,Marudhar Furnishings LLP,PAID,INR,Trolley bag 24 inch,2,73758.00,5625.61,Mobile app,Web order - Trolley bag 24 inch
WB-108034,2026-03-04T19:40:33Z,Madhuban Nurseries Pvt Ltd,PAID,INR,Coir door mat,3,22789.00,1738.14,Phone order,Web order - Coir door mat
WB-108129,2026-03-04T15:13:00Z,Ojas Lighting Private Limited,PAID,INR,Coir door mat,3,10602.00,808.63,Phone order,Web order - Coir door mat
WB-108148,2026-03-04T09:36:20Z,Tanmay Toolroom Private Limited,PAID,INR,Copper water bottle,2,55572.00,4238.54,Mobile app,Web order - Copper water bottle
WB-108165,2026-03-04T17:56:26Z,Ekansh Glassworks Private Limited,PAID,INR,Trolley bag 24 inch,2,17378.00,1325.44,Mobile app,Web order - Trolley bag 24 inch
WB-108204,2026-03-04T08:57:29Z,Palashwood Interiors Pvt Ltd,PAID,INR,Steel tiffin carrier,1,77305.47,5896.18,Web,Web order - Steel tiffin carrier
WB-108855,2026-03-04T20:07:53Z,Chandravat Metals Private Limited,PAID,INR,Copper water bottle,4,59444.79,4533.92,Marketplace,Web order - Copper water bottle
WB-108860,2026-03-04T17:18:38Z,Vaayu Organics Private Limited,PAID,INR,Trolley bag 24 inch,4,88742.95,6768.53,Marketplace,Web order - Trolley bag 24 inch
WB-109232,2026-03-04T15:00:40Z,Prithvi Seeds and Feeds Pvt Ltd,PAID,INR,Copper water bottle,4,65091.00,4964.57,Marketplace,Web order - Copper water bottle
WB-109302,2026-03-04T16:32:40Z,Tarangini Prints LLP,PAID,INR,Copper water bottle,2,50673.00,3864.89,Mobile app,Web order - Copper water bottle
WB-109417,2026-03-04T15:22:58Z,Meghdoot Packaging LLP,PAID,INR,Mixer jar spare,3,77675.36,5924.39,Phone order,Web order - Mixer jar spare
WB-109546,2026-03-04T12:01:06Z,Rukmini Provisions Private Limited,PAID,INR,Trolley bag 24 inch,4,79841.00,6089.57,Marketplace,Web order - Trolley bag 24 inch
WB-109626,2026-03-04T11:16:29Z,Kaveri Rubber Works Pvt Ltd,PAID,INR,Steel tiffin carrier,1,8410.49,641.48,Web,Web order - Steel tiffin carrier
WB-109736,2026-03-04T11:16:53Z,Ranjeet Timber Depot Pvt Ltd,PAID,INR,Coir door mat,1,78010.00,5949.92,Web,Web order - Coir door mat
WB-109804,2026-03-04T12:32:00Z,Ekansh Glassworks Private Limited,PAID,INR,Trolley bag 24 inch,2,73683.00,5619.89,Mobile app,Web order - Trolley bag 24 inch
WB-109943,2026-03-04T20:44:14Z,Chirag Battery House Pvt Ltd,PAID,INR,Steel tiffin carrier,3,79402.03,6056.09,Phone order,Web order - Steel tiffin carrier
WB-104175,2026-03-05T15:56:23Z,Chandravat Metals Private Limited,PAID,INR,Copper water bottle,4,77983.90,5947.92,Marketplace,Web order - Copper water bottle
WB-104258,2026-03-05T20:27:00Z,Naaz Fabrics Private Limited,PAID,INR,Copper water bottle,2,57006.00,4347.92,Mobile app,Web order - Copper water bottle
WB-104662,2026-03-05T17:49:53Z,Vaayu Organics Private Limited,PAID,INR,Trolley bag 24 inch,4,7783.00,593.62,Marketplace,Web order - Trolley bag 24 inch
WB-104934,2026-03-05T18:14:03Z,Kaveri Rubber Works Pvt Ltd,PAID,INR,Steel tiffin carrier,1,48346.30,3687.43,Web,Web order - Steel tiffin carrier
WB-104987,2026-03-05T20:24:46Z,Ambar Cold Rooms Pvt Ltd,PAID,INR,Coir door mat,1,79493.00,6063.03,Web,Web order - Coir door mat
WB-105275,2026-03-05T20:00:04Z,Devgiri Paints LLP,PAID,INR,Rubber foot mat,2,11395.92,869.18,Mobile app,Web order - Rubber foot mat
WB-105796,2026-03-05T19:29:46Z,Chirag Battery House Pvt Ltd,PAID,INR,Steel tiffin carrier,3,90554.00,6906.66,Phone order,Web order - Steel tiffin carrier
WB-105874,2026-03-05T16:25:09Z,Jashan Sports Goods Pvt Ltd,PAID,INR,Steel tiffin carrier,1,39369.89,3002.79,Web,Web order - Steel tiffin carrier
