Bill No,Bill Date,Store Code,Terminal Id,Customer Name,Item Name,Qty,Payment Mode,Bill Amount,Tax,Remarks
POS-301047,03/03/2026,MYS-01,TID4561,Kesari Handlooms Pvt Ltd,Fastener assortment,2,CARD,"35,432.98","2,702.52",Counter bill Fastener assortment
POS-301163,03/03/2026,MYS-01,TID4263,Utsav Bakers LLP,Plumbing fittings,4,WALLET,"33,342.41","2,543.07",Counter bill Plumbing fittings
POS-301868,03/03/2026,PNQ-01,TID4096,Shubhankar Electricals LLP,Cleaning supplies,3,WALLET,"44,774.82","3,415.03",Counter bill Cleaning supplies
POS-301869,03/03/2026,BLR-02,TID4812,Naaz Fabrics Private Limited,Garden tool set,2,WALLET,"43,486.00","3,316.73",Counter bill Garden tool set
POS-302462,03/03/2026,HYD-01,TID4686,Yamini Home Needs Pvt Ltd,Bedding roll,1,NETBANKING,"30,003.00","2,288.36",Counter bill Bedding roll
POS-302527,03/03/2026,BLR-01,TID4166,Girnar Pipes and Fittings Pvt Ltd,Ladder step 4ft,1,UPI,"1,165.00",88.86,Counter bill Ladder step 4ft
POS-303258,03/03/2026,BLR-01,TID4527,Neelkanth Ceramics Pvt Ltd,Sponge pack,3,WALLET,"3,690.12",281.45,Counter bill Sponge pack
POS-303299,03/03/2026,MYS-01,TID4840,Sitara Packaging Solutions Pvt Ltd,Bulb pack of six,1,WALLET,"12,182.00",929.14,Counter bill Bulb pack of six
POS-303391,03/03/2026,MYS-01,TID4742,Palashwood Interiors Pvt Ltd,Adhesive carton,1,UPI,"24,097.49","1,837.94",Counter bill Adhesive carton
POS-303938,03/03/2026,BLR-02,TID4228,Kaveri Rubber Works Pvt Ltd,Stationery pack,1,CARD,"20,496.00","1,563.25",Counter bill Stationery pack
POS-304198,03/03/2026,MYS-01,TID4103,Prithvi Seeds and Feeds Pvt Ltd,Grocery basket,4,NETBANKING,"13,327.64","1,016.51",Counter bill Grocery basket
POS-304273,03/03/2026,BLR-01,TID4837,Barkat Stationers Private Limited,Storage crate,4,CARD,"18,460.46","1,408.00",Counter bill Storage crate
POS-304297,03/03/2026,PNQ-01,TID4445,Meghdoot Packaging LLP,Measuring tape 5m,3,NETBANKING,"47,219.45","3,601.48",Counter bill Measuring tape 5m
POS-304395,03/03/2026,BLR-01,TID4874,Ranjeet Timber Depot Pvt Ltd,Electrical wire roll,1,CARD,"25,020.32","1,908.33",Counter bill Electrical wire roll
POS-304482,03/03/2026,BLR-02,TID4856,Devgiri Paints LLP,Hardware fittings,2,CARD,"37,496.00","2,859.86",Counter bill Hardware fittings
POS-304493,03/03/2026,BLR-02,TID4356,Ekansh Glassworks Private Limited,Sports kit,2,CARD,"40,296.03","3,073.43",Counter bill Sports kit
POS-305051,03/03/2026,PNQ-01,TID4187,Madhuban Nurseries Pvt Ltd,Battery pack AA,3,UPI,"20,209.00","1,541.36",Counter bill Battery pack AA
POS-305136,03/03/2026,BLR-02,TID4661,Sanchit Hardware Depot Pvt Ltd,Paint tin 4L,3,NETBANKING,"17,231.31","1,314.25",Counter bill Paint tin 4L
POS-305247,03/03/2026,HYD-01,TID4812,Suvarna Weaves LLP,Tarpaulin sheet,2,CARD,"30,888.25","2,355.88",Counter bill Tarpaulin sheet
POS-300261,04/03/2026,MYS-01,TID4423,Kalanjali Crafts Pvt Ltd,Measuring tape 5m,3,WALLET,"9,262.00",706.42,Counter bill Measuring tape 5m
POS-300288,04/03/2026,PNQ-01,TID4210,Ojas Lighting Private Limited,Battery pack AA,3,WALLET,"14,074.00","1,073.44",Counter bill Battery pack AA
POS-300324,04/03/2026,MYS-01,TID4426,Tanmay Toolroom Private Limited,Mop and bucket,2,WALLET,"28,182.50","2,149.51",Counter bill Mop and bucket
POS-300623,04/03/2026,BLR-02,TID4704,Nirvaan Agro Mills Pvt Ltd,Cable tie pack,3,NETBANKING,"23,831.23","1,817.64",Counter bill Cable tie pack
POS-301357,04/03/2026,BLR-02,TID4288,Ambar Cold Rooms Pvt Ltd,Electrical wire roll,1,UPI,"27,221.53","2,076.22",Counter bill Electrical wire roll
POS-302819,04/03/2026,PNQ-01,TID4188,Yamini Home Needs Pvt Ltd,Ladder step 4ft,1,NETBANKING,"13,919.27","1,061.64",Counter bill Ladder step 4ft
POS-302942,04/03/2026,MYS-01,TID4747,Marudhar Furnishings LLP,Sports kit,2,CARD,"11,532.13",879.57,Counter bill Sports kit
POS-303449,04/03/2026,BLR-02,TID4357,Tarangini Prints LLP,Garden tool set,2,UPI,"15,101.11","1,151.78",Counter bill Garden tool set
POS-303495,04/03/2026,HYD-01,TID4792,Jashan Sports Goods Pvt Ltd,Adhesive carton,1,CARD,"11,848.00",903.66,Counter bill Adhesive carton
POS-304265,04/03/2026,PNQ-01,TID4306,Bhavani Steel Trading Pvt Ltd,Crockery half set,4,CARD,"14,744.00","1,124.54",Counter bill Crockery half set
POS-304612,04/03/2026,BLR-02,TID4128,Chirag Battery House Pvt Ltd,Sponge pack,3,UPI,"32,401.00","2,471.26",Counter bill Sponge pack
POS-304644,04/03/2026,HYD-01,TID4467,Kesari Handlooms Pvt Ltd,Hardware fittings,2,UPI,"9,573.00",730.14,Counter bill Hardware fittings
POS-304717,04/03/2026,PNQ-01,TID4407,Palashwood Interiors Pvt Ltd,Stationery pack,1,WALLET,"40,654.00","3,100.73",Counter bill Stationery pack
POS-304781,04/03/2026,HYD-01,TID4698,Bhoomi Tiles and Sanitary LLP,Storage crate,4,CARD,"17,488.62","1,333.88",Counter bill Storage crate
POS-304837,04/03/2026,MYS-01,TID4328,Anokhi Kitchenware Pvt Ltd,Bedding roll,1,UPI,"46,397.00","3,538.75",Counter bill Bedding roll
POS-305143,04/03/2026,BLR-01,TID4707,Chandravat Metals Private Limited,Grocery basket,4,WALLET,"4,950.00",377.54,Counter bill Grocery basket
POS-305659,04/03/2026,BLR-01,TID4360,Rukmini Provisions Private Limited,Plumbing fittings,4,CARD,"2,520.00",192.20,Counter bill Plumbing fittings
POS-305703,04/03/2026,MYS-01,TID4368,Vindhya Plastics Private Limited,Fastener assortment,2,WALLET,"46,682.00","3,560.49",Counter bill Fastener assortment
POS-305945,04/03/2026,BLR-02,TID4351,Utsav Bakers LLP,Extension board,4,UPI,"27,661.00","2,109.74",Counter bill Extension board
POS-300142,05/03/2026,HYD-01,TID4276,Ranjeet Timber Depot Pvt Ltd,Bulb pack of six,1,WALLET,"46,038.00","3,511.37",Counter bill Bulb pack of six
POS-300337,05/03/2026,PNQ-01,TID4607,Naaz Fabrics Private Limited,Mop and bucket,2,UPI,"4,249.40",324.11,Counter bill Mop and bucket
POS-300653,05/03/2026,BLR-02,TID4744,Kaveri Rubber Works Pvt Ltd,Adhesive carton,1,NETBANKING,"5,211.67",397.50,Counter bill Adhesive carton
POS-301809,05/03/2026,MYS-01,TID4694,Neelkanth Ceramics Pvt Ltd,Cleaning supplies,3,WALLET,"4,862.00",370.83,Counter bill Cleaning supplies
POS-301834,05/03/2026,MYS-01,TID4076,Devgiri Paints LLP,Fastener assortment,2,CARD,"19,432.79","1,482.16",Counter bill Fastener assortment
POS-302193,05/03/2026,MYS-01,TID4503,Sohrab Auto Spares LLP,Grocery basket,4,NETBANKING,"16,127.00","1,230.03",Counter bill Grocery basket
POS-302423,05/03/2026,BLR-02,TID4141,Girnar Pipes and Fittings Pvt Ltd,Bedding roll,1,NETBANKING,"38,791.00","2,958.64",Counter bill Bedding roll
POS-302605,05/03/2026,HYD-01,TID4634,Bhavani Steel Trading Pvt Ltd,Storage crate,4,WALLET,"4,438.61",338.54,Counter bill Storage crate
POS-302722,05/03/2026,BLR-02,TID4337,Meghdoot Packaging LLP,Paint tin 4L,3,UPI,"14,961.00","1,141.09",Counter bill Paint tin 4L
POS-302739,05/03/2026,MYS-01,TID4751,Jashan Sports Goods Pvt Ltd,Stationery pack,1,UPI,"24,157.98","1,842.56",Counter bill Stationery pack
POS-302872,05/03/2026,BLR-02,TID4130,Prithvi Seeds and Feeds Pvt Ltd,Torch and cells,4,NETBANKING,"45,011.00","3,433.04",Counter bill Torch and cells
POS-303161,05/03/2026,PNQ-01,TID4491,Ekansh Glassworks Private Limited,Tarpaulin sheet,2,NETBANKING,"28,639.00","2,184.33",Counter bill Tarpaulin sheet
POS-303277,05/03/2026,BLR-02,TID4032,Shubhankar Electricals LLP,Sponge pack,3,WALLET,"12,826.88",978.32,Counter bill Sponge pack
POS-304097,05/03/2026,MYS-01,TID4666,Sitara Packaging Solutions Pvt Ltd,Electrical wire roll,1,NETBANKING,"17,267.00","1,316.97",Counter bill Electrical wire roll
POS-304260,05/03/2026,PNQ-01,TID4550,Sanchit Hardware Depot Pvt Ltd,Measuring tape 5m,3,WALLET,"3,854.00",293.95,Counter bill Measuring tape 5m
POS-304720,05/03/2026,PNQ-01,TID4730,Vaayu Organics Private Limited,Plumbing fittings,4,WALLET,"5,114.50",390.09,Counter bill Plumbing fittings
POS-305360,05/03/2026,PNQ-01,TID4062,Madhuban Nurseries Pvt Ltd,Cable tie pack,3,WALLET,"19,334.00","1,474.63",Counter bill Cable tie pack
POS-305453,05/03/2026,HYD-01,TID4864,Suvarna Weaves LLP,Sports kit,2,CARD,"43,848.00","3,344.34",Counter bill Sports kit
POS-305662,05/03/2026,BLR-02,TID4682,Barkat Stationers Private Limited,Crockery half set,4,CARD,"4,776.00",364.27,Counter bill Crockery half set
POS-300131,06/03/2026,MYS-01,TID4104,Anokhi Kitchenware Pvt Ltd,Ladder step 4ft,1,CARD,"7,032.00",536.34,Counter bill Ladder step 4ft
POS-300378,06/03/2026,HYD-01,TID4469,Neelkanth Ceramics Pvt Ltd,Sponge pack,3,NETBANKING,"28,483.00","2,172.43",Counter bill Sponge pack
POS-300721,06/03/2026,BLR-02,TID4648,Chirag Battery House Pvt Ltd,Cleaning supplies,3,CARD,"23,436.46","1,787.53",Counter bill Cleaning supplies
POS-301397,06/03/2026,HYD-01,TID4814,Rukmini Provisions Private Limited,Extension board,4,NETBANKING,"18,303.00","1,395.99",Counter bill Extension board
POS-301421,06/03/2026,PNQ-01,TID4277,Palashwood Interiors Pvt Ltd,Adhesive carton,1,CARD,"27,144.00","2,070.31",Counter bill Adhesive carton
POS-301653,06/03/2026,BLR-01,TID4814,Utsav Bakers LLP,Plumbing fittings,4,CARD,"12,000.00",915.25,Counter bill Plumbing fittings
POS-301784,06/03/2026,PNQ-01,TID4628,Prithvi Seeds and Feeds Pvt Ltd,Grocery basket,4,NETBANKING,"42,199.00","3,218.57",Counter bill Grocery basket
POS-301791,06/03/2026,PNQ-01,TID4309,Yamini Home Needs Pvt Ltd,Bedding roll,1,CARD,"33,664.81","2,567.66",Counter bill Bedding roll
POS-301979,06/03/2026,HYD-01,TID4703,Tanmay Toolroom Private Limited,Garden tool set,2,NETBANKING,"30,123.82","2,297.58",Counter bill Garden tool set
POS-302107,06/03/2026,HYD-01,TID4857,Kalanjali Crafts Pvt Ltd,Paint tin 4L,3,NETBANKING,"37,503.00","2,860.40",Counter bill Paint tin 4L
POS-302326,06/03/2026,PNQ-01,TID4290,Vindhya Plastics Private Limited,Hardware fittings,2,WALLET,"8,334.87",635.71,Counter bill Hardware fittings
POS-303660,06/03/2026,BLR-01,TID4089,Tarangini Prints LLP,Mop and bucket,2,UPI,625.18,47.68,Counter bill Mop and bucket
POS-303823,06/03/2026,MYS-01,TID4594,Bhoomi Tiles and Sanitary LLP,Crockery half set,4,WALLET,"4,162.53",317.48,Counter bill Crockery half set
POS-303882,06/03/2026,MYS-01,TID4188,Kesari Handlooms Pvt Ltd,Fastener assortment,2,UPI,"20,217.00","1,541.97",Counter bill Fastener assortment
POS-304040,06/03/2026,HYD-01,TID4473,Ranjeet Timber Depot Pvt Ltd,Electrical wire roll,1,UPI,"22,213.00","1,694.21",Counter bill Electrical wire roll
POS-304046,06/03/2026,HYD-01,TID4503,Nirvaan Agro Mills Pvt Ltd,Battery pack AA,3,NETBANKING,"16,123.00","1,229.72",Counter bill Battery pack AA
POS-304521,06/03/2026,BLR-01,TID4214,Ambar Cold Rooms Pvt Ltd,Bulb pack of six,1,CARD,"33,000.51","2,516.99",Counter bill Bulb pack of six
POS-304897,06/03/2026,BLR-02,TID4181,Ojas Lighting Private Limited,Cable tie pack,3,NETBANKING,"45,371.77","3,460.56",Counter bill Cable tie pack
POS-305020,06/03/2026,BLR-01,TID4845,Chandravat Metals Private Limited,Torch and cells,4,CARD,"43,720.05","3,334.58",Counter bill Torch and cells
POS-305746,06/03/2026,BLR-02,TID4315,Marudhar Furnishings LLP,Tarpaulin sheet,2,NETBANKING,"14,811.00","1,129.65",Counter bill Tarpaulin sheet
POS-300182,07/03/2026,HYD-01,TID4551,Barkat Stationers Private Limited,Storage crate,4,WALLET,"10,158.15",774.77,Counter bill Storage crate
POS-300202,07/03/2026,HYD-01,TID4690,Devgiri Paints LLP,Hardware fittings,2,UPI,"30,033.00","2,290.65",Counter bill Hardware fittings
POS-300297,07/03/2026,BLR-02,TID4647,Girnar Pipes and Fittings Pvt Ltd,Ladder step 4ft,1,NETBANKING,"23,431.10","1,787.12",Counter bill Ladder step 4ft
POS-300598,07/03/2026,BLR-02,TID4386,Suvarna Weaves LLP,Tarpaulin sheet,2,WALLET,"21,606.00","1,647.92",Counter bill Tarpaulin sheet
POS-300703,07/03/2026,PNQ-01,TID4549,Ekansh Glassworks Private Limited,Sports kit,2,UPI,"47,949.00","3,657.13",Counter bill Sports kit
POS-300727,07/03/2026,PNQ-01,TID4866,Rukmini Provisions Private Limited,Plumbing fittings,4,CARD,"6,064.00",462.51,Counter bill Plumbing fittings
POS-300869,07/03/2026,BLR-02,TID4115,Vaayu Organics Private Limited,Extension board,4,WALLET,"38,606.00","2,944.53",Counter bill Extension board
POS-300952,07/03/2026,PNQ-01,TID4848,Nirvaan Agro Mills Pvt Ltd,Cable tie pack,3,NETBANKING,"24,839.20","1,894.52",Counter bill Cable tie pack
POS-301774,07/03/2026,HYD-01,TID4531,Meghdoot Packaging LLP,Measuring tape 5m,3,NETBANKING,"16,323.00","1,244.97",Counter bill Measuring tape 5m
POS-302160,07/03/2026,BLR-02,TID4760,Jashan Sports Goods Pvt Ltd,Adhesive carton,1,WALLET,"11,626.00",886.73,Counter bill Adhesive carton
POS-302311,07/03/2026,PNQ-01,TID4469,Madhuban Nurseries Pvt Ltd,Battery pack AA,3,UPI,"3,289.33",250.88,Counter bill Battery pack AA
POS-302377,07/03/2026,MYS-01,TID4266,Sohrab Auto Spares LLP,Torch and cells,4,NETBANKING,"27,067.09","2,064.44",Counter bill Torch and cells
POS-302589,07/03/2026,BLR-02,TID4437,Naaz Fabrics Private Limited,Garden tool set,2,UPI,"47,161.00","3,597.03",Counter bill Garden tool set
POS-303039,07/03/2026,PNQ-01,TID4684,Tanmay Toolroom Private Limited,Mop and bucket,2,WALLET,"29,994.77","2,287.74",Counter bill Mop and bucket
POS-303059,07/03/2026,PNQ-01,TID4727,Shubhankar Electricals LLP,Cleaning supplies,3,WALLET,"11,394.00",869.03,Counter bill Cleaning supplies
POS-304222,07/03/2026,BLR-01,TID4260,Kaveri Rubber Works Pvt Ltd,Stationery pack,1,UPI,"8,125.00",619.70,Counter bill Stationery pack
POS-305249,07/03/2026,BLR-02,TID4639,Sanchit Hardware Depot Pvt Ltd,Paint tin 4L,3,CARD,"42,276.00","3,224.44",Counter bill Paint tin 4L
POS-305298,07/03/2026,BLR-02,TID4839,Sitara Packaging Solutions Pvt Ltd,Bulb pack of six,1,CARD,"37,376.72","2,850.77",Counter bill Bulb pack of six
POS-305798,07/03/2026,BLR-01,TID4374,Bhavani Steel Trading Pvt Ltd,Crockery half set,4,CARD,"46,720.92","3,563.46",Counter bill Crockery half set
POS-301045,08/03/2026,PNQ-01,TID4139,Anokhi Kitchenware Pvt Ltd,Bedding roll,1,NETBANKING,"19,879.35","1,516.22",Counter bill Bedding roll
POS-301055,08/03/2026,BLR-02,TID4422,Chirag Battery House Pvt Ltd,Sponge pack,3,CARD,"34,456.00","2,628.00",Counter bill Sponge pack
POS-301633,08/03/2026,PNQ-01,TID4014,Yamini Home Needs Pvt Ltd,Ladder step 4ft,1,CARD,"6,404.00",488.44,Counter bill Ladder step 4ft
POS-302106,08/03/2026,BLR-02,TID4804,Utsav Bakers LLP,Extension board,4,NETBANKING,"30,831.81","2,351.58",Counter bill Extension board
POS-302660,08/03/2026,HYD-01,TID4026,Marudhar Furnishings LLP,Sports kit,2,CARD,"6,488.31",494.87,Counter bill Sports kit
POS-302738,08/03/2026,BLR-02,TID4807,Tarangini Prints LLP,Garden tool set,2,NETBANKING,"30,851.00","2,353.04",Counter bill Garden tool set
POS-302851,08/03/2026,BLR-02,TID4091,Neelkanth Ceramics Pvt Ltd,Cleaning supplies,3,UPI,"13,241.92","1,009.98",Counter bill Cleaning supplies
POS-303302,08/03/2026,BLR-02,TID4281,Bhoomi Tiles and Sanitary LLP,Storage crate,4,NETBANKING,"46,071.00","3,513.89",Counter bill Storage crate
POS-303379,08/03/2026,MYS-01,TID4285,Barkat Stationers Private Limited,Crockery half set,4,UPI,"14,597.00","1,113.33",Counter bill Crockery half set
POS-303641,08/03/2026,BLR-02,TID4733,Ojas Lighting Private Limited,Battery pack AA,3,NETBANKING,"11,431.95",871.93,Counter bill Battery pack AA
POS-303714,08/03/2026,MYS-01,TID4424,Palashwood Interiors Pvt Ltd,Stationery pack,1,CARD,"28,172.00","2,148.71",Counter bill Stationery pack
POS-303812,08/03/2026,BLR-02,TID4403,Prithvi Seeds and Feeds Pvt Ltd,Torch and cells,4,WALLET,"15,426.38","1,176.59",Counter bill Torch and cells
POS-304002,08/03/2026,PNQ-01,TID4508,Vindhya Plastics Private Limited,Fastener assortment,2,NETBANKING,"28,759.44","2,193.52",Counter bill Fastener assortment
POS-304014,08/03/2026,PNQ-01,TID4865,Kalanjali Crafts Pvt Ltd,Measuring tape 5m,3,NETBANKING,"24,959.26","1,903.67",Counter bill Measuring tape 5m
POS-304203,08/03/2026,MYS-01,TID4216,Ekansh Glassworks Private Limited,Tarpaulin sheet,2,CARD,"45,612.00","3,478.88",Counter bill Tarpaulin sheet
POS-304796,08/03/2026,PNQ-01,TID4427,Meghdoot Packaging LLP,Paint tin 4L,3,WALLET,"47,094.49","3,591.95",Counter bill Paint tin 4L
POS-304797,08/03/2026,HYD-01,TID4790,Chandravat Metals Private Limited,Grocery basket,4,UPI,"11,833.58",902.56,Counter bill Grocery basket
POS-305134,08/03/2026,HYD-01,TID4496,Ranjeet Timber Depot Pvt Ltd,Bulb pack of six,1,WALLET,"41,278.00","3,148.32",Counter bill Bulb pack of six
POS-305398,08/03/2026,BLR-01,TID4710,Kesari Handlooms Pvt Ltd,Hardware fittings,2,NETBANKING,"30,175.63","2,301.53",Counter bill Hardware fittings
POS-305879,08/03/2026,HYD-01,TID4837,Ambar Cold Rooms Pvt Ltd,Electrical wire roll,1,NETBANKING,"43,663.14","3,330.24",Counter bill Electrical wire roll
POS-300235,09/03/2026,BLR-01,TID4111,Jashan Sports Goods Pvt Ltd,Stationery pack,1,CARD,"25,980.00","1,981.53",Counter bill Stationery pack
POS-300361,09/03/2026,PNQ-01,TID4682,Bhavani Steel Trading Pvt Ltd,Storage crate,4,WALLET,"17,374.44","1,325.17",Counter bill Storage crate
POS-300588,09/03/2026,BLR-02,TID4190,Chirag Battery House Pvt Ltd,Cleaning supplies,3,CARD,"26,536.00","2,023.93",Counter bill Cleaning supplies
POS-301252,09/03/2026,HYD-01,TID4259,Shubhankar Electricals LLP,Sponge pack,3,WALLET,"27,018.00","2,060.69",Counter bill Sponge pack
POS-301295,09/03/2026,BLR-01,TID4370,Vaayu Organics Private Limited,Plumbing fittings,4,NETBANKING,"2,595.00",197.92,Counter bill Plumbing fittings
POS-301597,09/03/2026,HYD-01,TID4216,Rukmini Provisions Private Limited,Extension board,4,WALLET,"33,018.88","2,518.39",Counter bill Extension board
POS-302307,09/03/2026,HYD-01,TID4146,Devgiri Paints LLP,Fastener assortment,2,NETBANKING,"32,523.44","2,480.60",Counter bill Fastener assortment
POS-302313,09/03/2026,PNQ-01,TID4717,Tanmay Toolroom Private Limited,Garden tool set,2,CARD,"23,924.00","1,824.71",Counter bill Garden tool set
POS-302482,09/03/2026,HYD-01,TID4838,Nirvaan Agro Mills Pvt Ltd,Battery pack AA,3,CARD,"12,168.00",928.07,Counter bill Battery pack AA
POS-302707,09/03/2026,HYD-01,TID4059,Anokhi Kitchenware Pvt Ltd,Ladder step 4ft,1,WALLET,"25,618.04","1,953.92",Counter bill Ladder step 4ft
POS-303016,09/03/2026,MYS-01,TID4308,Girnar Pipes and Fittings Pvt Ltd,Bedding roll,1,WALLET,"27,362.00","2,086.93",Counter bill Bedding roll
POS-303493,09/03/2026,HYD-01,TID4254,Kaveri Rubber Works Pvt Ltd,Adhesive carton,1,WALLET,"1,778.38",135.64,Counter bill Adhesive carton
