Posting Date,Document No,Journal,GL Account Code,Cost Centre,External Ref,Customer,Narrative,Debit,Credit,Currency
02-Mar-2026,DOC/2026/204883,SALES,4160-REV-DOM,CC-BLR-02,GLX-204883,Ambar Cold Rooms Pvt Ltd,Spare kit despatch,,47771.00,INR
02-Mar-2026,DOC/2026/205130,SALES,4120-REV-DOM,CC-HYD-01,GLX-205130,Bhoomi Tiles and Sanitary LLP,Tooling amortisation billing,,22333.15,INR
02-Mar-2026,DOC/2026/205143,SALES,4110-REV-DOM,CC-BLR-02,GLX-205143,Chandravat Metals Private Limited,Bulk despatch schedule A,,75306.38,INR
02-Mar-2026,DOC/2026/205334,SALES,4160-REV-DOM,CC-BLR-02,GLX-205334,Ekansh Glassworks Private Limited,Rework charges billed,,38231.48,INR
02-Mar-2026,DOC/2026/205599,SALES,4140-REV-DOM,CC-BLR-02,GLX-205599,Chirag Battery House Pvt Ltd,Machinery hire charges,,5571.00,INR
02-Mar-2026,DOC/2026/205624,SALES,4150-REV-DOM,CC-BLR-02,GLX-205624,Chandravat Metals Private Limited,Bulk despatch schedule A,,28906.18,INR
02-Mar-2026,DOC/2026/206032,SALES,4140-REV-DOM,CC-PNQ-01,GLX-206032,Prithvi Seeds and Feeds Pvt Ltd,Consignment despatch,,82899.00,INR
02-Mar-2026,DOC/2026/206116,SALES,4120-REV-DOM,CC-BLR-01,GLX-206116,Rukmini Provisions Private Limited,Testing and calibration charges,,38995.00,INR
02-Mar-2026,DOC/2026/206245,SALES,4120-REV-DOM,CC-BLR-02,GLX-206245,Barkat Stationers Private Limited,Trial batch supply,,30751.61,INR
02-Mar-2026,DOC/2026/206254,SALES,4160-REV-DOM,CC-HYD-01,GLX-206254,Vaayu Organics Private Limited,Testing and calibration charges,,19193.00,INR
02-Mar-2026,DOC/2026/206629,SALES,4110-REV-DOM,CC-MYS-01,GLX-206629,Neelkanth Ceramics Pvt Ltd,Mould development charges,,8802.00,INR
02-Mar-2026,DOC/2026/207045,SALES,4120-REV-DOM,CC-BLR-02,GLX-207045,Kalanjali Crafts Pvt Ltd,Job work conversion charges,,60901.00,INR
02-Mar-2026,DOC/2026/207521,SALES,4140-REV-DOM,CC-BLR-01,GLX-207521,Anokhi Kitchenware Pvt Ltd,Export documentation recovery,,10485.00,INR
02-Mar-2026,DOC/2026/207801,SALES,4110-REV-DOM,CC-BLR-02,GLX-207801,Naaz Fabrics Private Limited,Packaging material supply,,37536.78,INR
02-Mar-2026,DOC/2026/207932,SALES,4160-REV-DOM,CC-PNQ-01,GLX-207932,Vindhya Plastics Private Limited,Freight recovery billing,,20669.00,INR
02-Mar-2026,DOC/2026/208371,SALES,4150-REV-DOM,CC-HYD-01,GLX-208371,Meghdoot Packaging LLP,Site erection charges,,81598.27,INR
02-Mar-2026,DOC/2026/208492,SALES,4160-REV-DOM,CC-MYS-01,GLX-208492,Yamini Home Needs Pvt Ltd,Secondary transport recovery,,24497.00,INR
02-Mar-2026,DOC/2026/208541,SALES,4130-REV-DOM,CC-MYS-01,GLX-208541,Palashwood Interiors Pvt Ltd,Bulk despatch schedule B,,25592.80,INR
02-Mar-2026,DOC/2026/208731,SALES,4150-REV-DOM,CC-BLR-01,GLX-208731,Kaveri Rubber Works Pvt Ltd,Contract manufacturing charges,,50290.00,INR
02-Mar-2026,DOC/2026/208823,SALES,4160-REV-DOM,CC-BLR-01,GLX-208823,Kesari Handlooms Pvt Ltd,Annual maintenance billing,,8765.00,INR
02-Mar-2026,DOC/2026/208992,SALES,4150-REV-DOM,CC-HYD-01,GLX-208992,Nirvaan Agro Mills Pvt Ltd,Sample despatch billing,,51148.00,INR
02-Mar-2026,DOC/2026/209322,SALES,4160-REV-DOM,CC-BLR-02,GLX-209322,Utsav Bakers LLP,Scrap sale realisation,,81941.00,INR
02-Mar-2026,DOC/2026/209752,SALES,4160-REV-DOM,CC-BLR-02,GLX-209752,Madhuban Nurseries Pvt Ltd,Sample despatch billing,,7421.73,INR
02-Mar-2026,DOC/2026/209781,SALES,4140-REV-DOM,CC-BLR-02,GLX-209781,Marudhar Furnishings LLP,Labelling job billing,,32361.00,INR
03-Mar-2026,DOC/2026/204287,SALES,4130-REV-DOM,CC-BLR-02,GLX-204287,Kalanjali Crafts Pvt Ltd,Site erection charges,,33476.00,INR
03-Mar-2026,DOC/2026/204559,SALES,4130-REV-DOM,CC-HYD-01,GLX-204559,Sanchit Hardware Depot Pvt Ltd,Job work conversion charges,,42518.28,INR
03-Mar-2026,DOC/2026/204839,SALES,4110-REV-DOM,CC-PNQ-01,GLX-204839,Devgiri Paints LLP,Freight recovery billing,,83574.35,INR
03-Mar-2026,DOC/2026/205165,SALES,4130-REV-DOM,CC-BLR-01,GLX-205165,Rukmini Provisions Private Limited,Scrap sale realisation,,49160.00,INR
03-Mar-2026,DOC/2026/205188,SALES,4160-REV-DOM,CC-HYD-01,GLX-205188,Girnar Pipes and Fittings Pvt Ltd,Export documentation recovery,,34343.04,INR
03-Mar-2026,DOC/2026/205286,SALES,4150-REV-DOM,CC-BLR-02,GLX-205286,Anokhi Kitchenware Pvt Ltd,Secondary transport recovery,,91936.19,INR
03-Mar-2026,DOC/2026/205362,SALES,4140-REV-DOM,CC-HYD-01,GLX-205362,Nirvaan Agro Mills Pvt Ltd,Palletisation charges,,66093.46,INR
03-Mar-2026,DOC/2026/206233,SALES,4160-REV-DOM,CC-BLR-01,GLX-206233,Bhavani Steel Trading Pvt Ltd,Tooling amortisation billing,,22115.00,INR
03-Mar-2026,DOC/2026/206261,SALES,4140-REV-DOM,CC-BLR-02,GLX-206261,Ojas Lighting Private Limited,Palletisation charges,,72771.00,INR
03-Mar-2026,DOC/2026/206369,SALES,4160-REV-DOM,CC-MYS-01,GLX-206369,Chirag Battery House Pvt Ltd,Mould development charges,,6287.00,INR
03-Mar-2026,DOC/2026/206381,SALES,4140-REV-DOM,CC-MYS-01,GLX-206381,Tanmay Toolroom Private Limited,Design retainer billing,,29247.05,INR
03-Mar-2026,DOC/2026/207083,SALES,4140-REV-DOM,CC-HYD-01,GLX-207083,Yamini Home Needs Pvt Ltd,Export documentation recovery,,36273.54,INR
03-Mar-2026,DOC/2026/207112,SALES,4110-REV-DOM,CC-PNQ-01,GLX-207112,Palashwood Interiors Pvt Ltd,Contract manufacturing charges,,28164.00,INR
03-Mar-2026,DOC/2026/207449,SALES,4150-REV-DOM,CC-BLR-01,GLX-207449,Sohrab Auto Spares LLP,Bulk despatch schedule A,,30460.33,INR
03-Mar-2026,DOC/2026/208187,SALES,4150-REV-DOM,CC-BLR-02,GLX-208187,Utsav Bakers LLP,Testing and calibration charges,,7996.00,INR
03-Mar-2026,DOC/2026/208449,SALES,4150-REV-DOM,CC-PNQ-01,GLX-208449,Chandravat Metals Private Limited,Consignment despatch,,52114.54,INR
03-Mar-2026,DOC/2026/208497,SALES,4160-REV-DOM,CC-BLR-02,GLX-208497,Sitara Packaging Solutions Pvt Ltd,Spare kit despatch,,37241.48,INR
03-Mar-2026,DOC/2026/208542,SALES,4140-REV-DOM,CC-MYS-01,GLX-208542,Vindhya Plastics Private Limited,Annual maintenance billing,,61017.42,INR
03-Mar-2026,DOC/2026/208628,SALES,4140-REV-DOM,CC-PNQ-01,GLX-208628,Ambar Cold Rooms Pvt Ltd,Warehouse handling recovery,,37779.00,INR
03-Mar-2026,DOC/2026/208678,SALES,4140-REV-DOM,CC-HYD-01,GLX-208678,Marudhar Furnishings LLP,Rework charges billed,,5103.08,INR
03-Mar-2026,DOC/2026/208978,SALES,4160-REV-DOM,CC-MYS-01,GLX-208978,Ojas Lighting Private Limited,Sample despatch billing,,64757.97,INR
03-Mar-2026,DOC/2026/208979,SALES,4110-REV-DOM,CC-BLR-01,GLX-208979,Bhoomi Tiles and Sanitary LLP,Trial batch supply,,89220.71,INR
03-Mar-2026,DOC/2026/209394,SALES,4130-REV-DOM,CC-MYS-01,GLX-209394,Shubhankar Electricals LLP,Machinery hire charges,,50492.05,INR
03-Mar-2026,DOC/2026/209512,SALES,4160-REV-DOM,CC-MYS-01,GLX-209512,Suvarna Weaves LLP,Labelling job billing,,91637.00,INR
03-Mar-2026,DOC/2026/209786,SALES,4130-REV-DOM,CC-MYS-01,GLX-209786,Tarangini Prints LLP,Packaging material supply,,22532.77,INR
03-Mar-2026,DOC/2026/209844,SALES,4110-REV-DOM,CC-BLR-02,GLX-209844,Jashan Sports Goods Pvt Ltd,Bulk despatch schedule B,,90786.00,INR
04-Mar-2026,DOC/2026/204696,SALES,4150-REV-DOM,CC-BLR-01,GLX-204696,Ranjeet Timber Depot Pvt Ltd,Spare kit despatch,,73870.35,INR
04-Mar-2026,DOC/2026/204878,SALES,4130-REV-DOM,CC-PNQ-01,GLX-204878,Chirag Battery House Pvt Ltd,Machinery hire charges,,48734.00,INR
04-Mar-2026,DOC/2026/205000,SALES,4130-REV-DOM,CC-MYS-01,GLX-205000,Sohrab Auto Spares LLP,Consignment despatch,,70052.00,INR
04-Mar-2026,DOC/2026/205063,SALES,4140-REV-DOM,CC-MYS-01,GLX-205063,Vaayu Organics Private Limited,Scrap sale realisation,,53247.97,INR
04-Mar-2026,DOC/2026/205160,SALES,4150-REV-DOM,CC-HYD-01,GLX-205160,Rukmini Provisions Private Limited,Testing and calibration charges,,41428.74,INR
04-Mar-2026,DOC/2026/205374,SALES,4140-REV-DOM,CC-MYS-01,GLX-205374,Kesari Handlooms Pvt Ltd,Freight recovery billing,,85797.77,INR
04-Mar-2026,DOC/2026/205685,SALES,4130-REV-DOM,CC-MYS-01,GLX-205685,Suvarna Weaves LLP,Rework charges billed,,64502.23,INR
04-Mar-2026,DOC/2026/205972,SALES,4150-REV-DOM,CC-PNQ-01,GLX-205972,Shubhankar Electricals LLP,Mould development charges,,50464.00,INR
04-Mar-2026,DOC/2026/206113,SALES,4150-REV-DOM,CC-HYD-01,GLX-206113,Ekansh Glassworks Private Limited,Labelling job billing,,9658.00,INR
04-Mar-2026,DOC/2026/206266,SALES,4150-REV-DOM,CC-PNQ-01,GLX-206266,Devgiri Paints LLP,Annual maintenance billing,,44164.00,INR
04-Mar-2026,DOC/2026/206600,SALES,4130-REV-DOM,CC-MYS-01,GLX-206600,Girnar Pipes and Fittings Pvt Ltd,Secondary transport recovery,,12632.00,INR
04-Mar-2026,DOC/2026/206775,SALES,4120-REV-DOM,CC-BLR-01,GLX-206775,Barkat Stationers Private Limited,Tooling amortisation billing,,33265.00,INR
04-Mar-2026,DOC/2026/206806,SALES,4140-REV-DOM,CC-HYD-01,GLX-206806,Sanchit Hardware Depot Pvt Ltd,Site erection charges,,95613.00,INR
04-Mar-2026,DOC/2026/206979,SALES,4130-REV-DOM,CC-HYD-01,GLX-206979,Bhavani Steel Trading Pvt Ltd,Trial batch supply,,76358.92,INR
04-Mar-2026,DOC/2026/207255,SALES,4110-REV-DOM,CC-PNQ-01,GLX-207255,Naaz Fabrics Private Limited,Design retainer billing,,64314.00,INR
04-Mar-2026,DOC/2026/207368,SALES,4130-REV-DOM,CC-BLR-02,GLX-207368,Madhuban Nurseries Pvt Ltd,Palletisation charges,,64706.00,INR
04-Mar-2026,DOC/2026/207510,SALES,4160-REV-DOM,CC-MYS-01,GLX-207510,Nirvaan Agro Mills Pvt Ltd,Sample despatch billing,,7697.00,INR
04-Mar-2026,DOC/2026/207550,SALES,4140-REV-DOM,CC-PNQ-01,GLX-207550,Sitara Packaging Solutions Pvt Ltd,Warehouse handling recovery,,939.08,INR
04-Mar-2026,DOC/2026/207569,SALES,4150-REV-DOM,CC-BLR-02,GLX-207569,Anokhi Kitchenware Pvt Ltd,Export documentation recovery,,68206.07,INR
04-Mar-2026,DOC/2026/207691,SALES,4140-REV-DOM,CC-BLR-01,GLX-207691,Vindhya Plastics Private Limited,Freight recovery billing,,27105.00,INR
04-Mar-2026,DOC/2026/207742,SALES,4160-REV-DOM,CC-MYS-01,GLX-207742,Prithvi Seeds and Feeds Pvt Ltd,Bulk despatch schedule A,,45887.00,INR
04-Mar-2026,DOC/2026/208545,SALES,4160-REV-DOM,CC-HYD-01,GLX-208545,Tanmay Toolroom Private Limited,Packaging material supply,,34463.83,INR
04-Mar-2026,DOC/2026/208581,SALES,4120-REV-DOM,CC-MYS-01,GLX-208581,Jashan Sports Goods Pvt Ltd,Contract manufacturing charges,,56197.00,INR
04-Mar-2026,DOC/2026/208916,SALES,4110-REV-DOM,CC-BLR-02,GLX-208916,Meghdoot Packaging LLP,Job work conversion charges,,78276.00,INR
04-Mar-2026,DOC/2026/209221,SALES,4120-REV-DOM,CC-MYS-01,GLX-209221,Kaveri Rubber Works Pvt Ltd,Bulk despatch schedule B,,90307.18,INR
04-Mar-2026,DOC/2026/209718,SALES,4120-REV-DOM,CC-BLR-02,GLX-209718,Neelkanth Ceramics Pvt Ltd,Machinery hire charges,,44281.47,INR
05-Mar-2026,DOC/2026/204089,SALES,4150-REV-DOM,CC-BLR-02,GLX-204089,Girnar Pipes and Fittings Pvt Ltd,Export documentation recovery,,54616.78,INR
05-Mar-2026,DOC/2026/204600,SALES,4140-REV-DOM,CC-MYS-01,GLX-204600,Ambar Cold Rooms Pvt Ltd,Spare kit despatch,,76737.00,INR
05-Mar-2026,DOC/2026/205354,SALES,4130-REV-DOM,CC-PNQ-01,GLX-205354,Yamini Home Needs Pvt Ltd,Secondary transport recovery,,2684.75,INR
05-Mar-2026,DOC/2026/205977,SALES,4130-REV-DOM,CC-HYD-01,GLX-205977,Bhoomi Tiles and Sanitary LLP,Tooling amortisation billing,,10898.00,INR
05-Mar-2026,DOC/2026/206406,SALES,4150-REV-DOM,CC-BLR-02,GLX-206406,Ranjeet Timber Depot Pvt Ltd,Warehouse handling recovery,,14206.00,INR
05-Mar-2026,DOC/2026/206459,SALES,4110-REV-DOM,CC-BLR-02,GLX-206459,Kaveri Rubber Works Pvt Ltd,Contract manufacturing charges,,15426.00,INR
05-Mar-2026,DOC/2026/206574,SALES,4160-REV-DOM,CC-PNQ-01,GLX-206574,Palashwood Interiors Pvt Ltd,Bulk despatch schedule B,,18509.00,INR
05-Mar-2026,DOC/2026/206650,SALES,4150-REV-DOM,CC-PNQ-01,GLX-206650,Chandravat Metals Private Limited,Bulk despatch schedule A,,6244.30,INR
05-Mar-2026,DOC/2026/206679,SALES,4150-REV-DOM,CC-MYS-01,GLX-206679,Meghdoot Packaging LLP,Site erection charges,,61252.92,INR
05-Mar-2026,DOC/2026/206693,SALES,4130-REV-DOM,CC-HYD-01,GLX-206693,Tarangini Prints LLP,Design retainer billing,,58808.00,INR
05-Mar-2026,DOC/2026/206901,SALES,4160-REV-DOM,CC-MYS-01,GLX-206901,Marudhar Furnishings LLP,Labelling job billing,,3827.00,INR
05-Mar-2026,DOC/2026/207051,SALES,4130-REV-DOM,CC-BLR-01,GLX-207051,Utsav Bakers LLP,Scrap sale realisation,,80900.92,INR
05-Mar-2026,DOC/2026/207208,SALES,4150-REV-DOM,CC-HYD-01,GLX-207208,Barkat Stationers Private Limited,Trial batch supply,,49408.00,INR
05-Mar-2026,DOC/2026/207424,SALES,4110-REV-DOM,CC-HYD-01,GLX-207424,Devgiri Paints LLP,Freight recovery billing,,10428.00,INR
05-Mar-2026,DOC/2026/207680,SALES,4140-REV-DOM,CC-BLR-01,GLX-207680,Ekansh Glassworks Private Limited,Rework charges billed,,55575.61,INR
05-Mar-2026,DOC/2026/207689,SALES,4140-REV-DOM,CC-PNQ-01,GLX-207689,Prithvi Seeds and Feeds Pvt Ltd,Consignment despatch,,88119.00,INR
05-Mar-2026,DOC/2026/207825,SALES,4110-REV-DOM,CC-BLR-02,GLX-207825,Shubhankar Electricals LLP,Machinery hire charges,,84906.00,INR
05-Mar-2026,DOC/2026/208111,SALES,4110-REV-DOM,CC-MYS-01,GLX-208111,Naaz Fabrics Private Limited,Packaging material supply,,7362.44,INR
05-Mar-2026,DOC/2026/208634,SALES,4130-REV-DOM,CC-HYD-01,GLX-208634,Vaayu Organics Private Limited,Testing and calibration charges,,13208.45,INR
05-Mar-2026,DOC/2026/208698,SALES,4120-REV-DOM,CC-BLR-02,GLX-208698,Neelkanth Ceramics Pvt Ltd,Mould development charges,,5791.00,INR
05-Mar-2026,DOC/2026/208824,SALES,4160-REV-DOM,CC-BLR-02,GLX-208824,Sohrab Auto Spares LLP,Bulk despatch schedule A,,55721.00,INR
05-Mar-2026,DOC/2026/209094,SALES,4160-REV-DOM,CC-MYS-01,GLX-209094,Kalanjali Crafts Pvt Ltd,Job work conversion charges,,52307.00,INR
05-Mar-2026,DOC/2026/209327,SALES,4120-REV-DOM,CC-PNQ-01,GLX-209327,Kesari Handlooms Pvt Ltd,Annual maintenance billing,,18739.27,INR
05-Mar-2026,DOC/2026/209449,SALES,4130-REV-DOM,CC-BLR-02,GLX-209449,Ojas Lighting Private Limited,Palletisation charges,,66266.00,INR
05-Mar-2026,DOC/2026/209900,SALES,4120-REV-DOM,CC-BLR-01,GLX-209900,Madhuban Nurseries Pvt Ltd,Sample despatch billing,,89905.00,INR
06-Mar-2026,DOC/2026/204118,SALES,4130-REV-DOM,CC-BLR-02,GLX-204118,Sitara Packaging Solutions Pvt Ltd,Spare kit despatch,,3386.44,INR
06-Mar-2026,DOC/2026/204165,SALES,4130-REV-DOM,CC-HYD-01,GLX-204165,Chandravat Metals Private Limited,Consignment despatch,,2738.00,INR
06-Mar-2026,DOC/2026/204585,SALES,4160-REV-DOM,CC-PNQ-01,GLX-204585,Neelkanth Ceramics Pvt Ltd,Machinery hire charges,,86639.00,INR
06-Mar-2026,DOC/2026/204731,SALES,4160-REV-DOM,CC-MYS-01,GLX-204731,Bhoomi Tiles and Sanitary LLP,Trial batch supply,,12617.77,INR
06-Mar-2026,DOC/2026/204802,SALES,4120-REV-DOM,CC-BLR-02,GLX-204802,Ambar Cold Rooms Pvt Ltd,Warehouse handling recovery,,75721.00,INR
06-Mar-2026,DOC/2026/204928,SALES,4110-REV-DOM,CC-BLR-02,GLX-204928,Bhavani Steel Trading Pvt Ltd,Tooling amortisation billing,,56076.23,INR
06-Mar-2026,DOC/2026/205489,SALES,4110-REV-DOM,CC-MYS-01,GLX-205489,Sanchit Hardware Depot Pvt Ltd,Job work conversion charges,,33342.44,INR
06-Mar-2026,DOC/2026/205555,SALES,4150-REV-DOM,CC-BLR-01,GLX-205555,Tarangini Prints LLP,Packaging material supply,,16090.00,INR
06-Mar-2026,DOC/2026/205727,SALES,4120-REV-DOM,CC-BLR-01,GLX-205727,Vindhya Plastics Private Limited,Annual maintenance billing,,2065.00,INR
06-Mar-2026,DOC/2026/205836,SALES,4160-REV-DOM,CC-PNQ-01,GLX-205836,Chirag Battery House Pvt Ltd,Mould development charges,,35999.00,INR
06-Mar-2026,DOC/2026/205904,SALES,4130-REV-DOM,CC-HYD-01,GLX-205904,Kalanjali Crafts Pvt Ltd,Site erection charges,,3758.65,INR
06-Mar-2026,DOC/2026/205989,SALES,4140-REV-DOM,CC-MYS-01,GLX-205989,Suvarna Weaves LLP,Labelling job billing,,9687.00,INR
06-Mar-2026,DOC/2026/206103,SALES,4160-REV-DOM,CC-PNQ-01,GLX-206103,Ranjeet Timber Depot Pvt Ltd,Spare kit despatch,,44909.00,INR
06-Mar-2026,DOC/2026/206316,SALES,4160-REV-DOM,CC-BLR-01,GLX-206316,Marudhar Furnishings LLP,Rework charges billed,,36695.60,INR
06-Mar-2026,DOC/2026/206787,SALES,4140-REV-DOM,CC-BLR-01,GLX-206787,Nirvaan Agro Mills Pvt Ltd,Palletisation charges,,28965.15,INR
06-Mar-2026,DOC/2026/207350,SALES,4120-REV-DOM,CC-HYD-01,GLX-207350,Tanmay Toolroom Private Limited,Design retainer billing,,94993.00,INR
06-Mar-2026,DOC/2026/207495,SALES,4150-REV-DOM,CC-BLR-01,GLX-207495,Palashwood Interiors Pvt Ltd,Contract manufacturing charges,,79450.00,INR
06-Mar-2026,DOC/2026/207498,SALES,4120-REV-DOM,CC-BLR-01,GLX-207498,Jashan Sports Goods Pvt Ltd,Bulk despatch schedule B,,25645.00,INR
06-Mar-2026,DOC/2026/208152,SALES,4160-REV-DOM,CC-PNQ-01,GLX-208152,Prithvi Seeds and Feeds Pvt Ltd,Bulk despatch schedule A,,36509.00,INR
06-Mar-2026,DOC/2026/208690,SALES,4150-REV-DOM,CC-BLR-02,GLX-208690,Rukmini Provisions Private Limited,Scrap sale realisation,,74446.66,INR
06-Mar-2026,DOC/2026/208757,SALES,4140-REV-DOM,CC-BLR-02,GLX-208757,Ekansh Glassworks Private Limited,Labelling job billing,,53301.00,INR
06-Mar-2026,DOC/2026/208807,SALES,4110-REV-DOM,CC-PNQ-01,GLX-208807,Ojas Lighting Private Limited,Sample despatch billing,,82314.00,INR
06-Mar-2026,DOC/2026/208939,SALES,4110-REV-DOM,CC-MYS-01,GLX-208939,Anokhi Kitchenware Pvt Ltd,Secondary transport recovery,,60312.43,INR
06-Mar-2026,DOC/2026/208982,SALES,4150-REV-DOM,CC-HYD-01,GLX-208982,Kesari Handlooms Pvt Ltd,Freight recovery billing,,85018.61,INR
06-Mar-2026,DOC/2026/209054,SALES,4140-REV-DOM,CC-HYD-01,GLX-209054,Utsav Bakers LLP,Testing and calibration charges,,20733.00,INR
06-Mar-2026,DOC/2026/209715,SALES,4110-REV-DOM,CC-HYD-01,GLX-209715,Yamini Home Needs Pvt Ltd,Export documentation recovery,,25218.77,INR
07-Mar-2026,DOC/2026/204483,SALES,4160-REV-DOM,CC-MYS-01,GLX-204483,Meghdoot Packaging LLP,Job work conversion charges,,53117.00,INR
07-Mar-2026,DOC/2026/204657,SALES,4110-REV-DOM,CC-PNQ-01,GLX-204657,Vindhya Plastics Private Limited,Freight recovery billing,,32514.00,INR
07-Mar-2026,DOC/2026/204818,SALES,4130-REV-DOM,CC-PNQ-01,GLX-204818,Barkat Stationers Private Limited,Tooling amortisation billing,,30044.00,INR
07-Mar-2026,DOC/2026/205423,SALES,4110-REV-DOM,CC-PNQ-01,GLX-205423,Jashan Sports Goods Pvt Ltd,Contract manufacturing charges,,38904.00,INR
07-Mar-2026,DOC/2026/205537,SALES,4120-REV-DOM,CC-PNQ-01,GLX-205537,Shubhankar Electricals LLP,Mould development charges,,9799.00,INR
07-Mar-2026,DOC/2026/205849,SALES,4110-REV-DOM,CC-BLR-02,GLX-205849,Sitara Packaging Solutions Pvt Ltd,Warehouse handling recovery,,95736.20,INR
07-Mar-2026,DOC/2026/206162,SALES,4110-REV-DOM,CC-BLR-01,GLX-206162,Nirvaan Agro Mills Pvt Ltd,Sample despatch billing,,10320.47,INR
